epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,104.413,0.8428,3.3402,0.97294,0.32461,0.86488,0.50497,0.41113,0.79466,3.09422,1.01066,0.000260396,0.000260396,0.000260396
43,106.39,0.78905,3.29812,0.9687,0.34355,0.87146,0.52743,0.42198,0.82967,2.98818,1.02315,0.00025804,0.00025804,0.00025804
44,108.638,0.81278,3.46212,0.95918,0.35474,0.86195,0.52266,0.40044,0.93733,2.9607,1.06558,0.000255683,0.000255683,0.000255683
45,111.532,0.7953,3.39022,0.95172,0.37041,0.83671,0.52097,0.41189,0.86346,2.94656,1.03476,0.000253327,0.000253327,0.000253327
46,114.238,0.81109,3.30674,0.97071,0.4089,0.74621,0.53303,0.43327,0.79843,2.96243,0.99577,0.000250971,0.000250971,0.000250971
47,116.36,0.80289,3.31919,0.9741,0.3856,0.79755,0.52687,0.3854,1.05465,3.07309,1.07115,0.000248615,0.000248615,0.000248615
48,118.491,0.79729,3.26826,0.95817,0.34986,0.83603,0.52895,0.42507,0.82522,2.99477,0.99143,0.000246259,0.000246259,0.000246259
49,120.597,0.77108,3.15259,0.96461,0.35409,0.84617,0.53321,0.43998,0.74796,2.95709,0.9723,0.000243902,0.000243902,0.000243902
50,122.808,0.78935,3.28379,0.9633,0.39602,0.82634,0.55781,0.446,0.81472,2.87513,1.00203,0.000241546,0.000241546,0.000241546
51,126.095,0.79157,3.24838,0.94868,0.44877,0.79073,0.58782,0.47928,0.77028,2.77881,0.99294,0.00023919,0.00023919,0.00023919
52,128.533,0.74697,3.18097,0.96779,0.4349,0.81846,0.61012,0.50649,0.73865,2.76883,0.97793,0.000236834,0.000236834,0.000236834
53,130.71,0.75796,3.11736,0.94116,0.40578,0.84818,0.60344,0.49428,0.7632,2.79799,0.97632,0.000234478,0.000234478,0.000234478
54,132.847,0.74149,3.02712,0.94324,0.41469,0.79403,0.6141,0.49708,0.79433,2.7756,0.98746,0.000232121,0.000232121,0.000232121
55,135.115,0.74827,3.09194,0.95115,0.43201,0.81574,0.62176,0.5176,0.72712,2.75336,0.97571,0.000229765,0.000229765,0.000229765
56,137.5,0.76151,3.18973,0.95249,0.41103,0.8111,0.61695,0.51557,0.72992,2.75928,0.97602,0.000227409,0.000227409,0.000227409
57,140.766,0.75252,3.11795,0.97296,0.42894,0.80031,0.6203,0.50453,0.78148,2.73985,0.98919,0.000225053,0.000225053,0.000225053
