timestamp,frame_id,group_id,num_anchors,magnitude,x_center,y_center,width,height,angle
10:59:23.151,20,1,3,3.72,669.0,464.8,127.5,89.5,-11.71
10:59:23.298,21,1,3,3.55,668.9,464.5,127.0,88.7,-10.84
10:59:23.451,22,1,3,3.78,668.8,464.8,127.0,89.0,-11.07
10:59:23.590,23,1,3,3.32,668.5,464.7,127.3,88.6,-11.86
10:59:23.737,24,1,3,3.61,668.8,464.7,127.5,89.1,-11.75
10:59:23.894,25,1,3,3.71,668.9,464.9,127.6,89.3,-11.97
10:59:24.033,26,1,4,4.82,668.8,464.9,127.0,89.2,-12.24
10:59:24.175,27,1,3,3.70,668.9,464.7,127.2,89.5,-11.68
10:59:24.312,28,1,3,3.85,668.7,464.7,127.1,89.5,-11.38
10:59:24.453,29,1,4,4.66,668.7,465.0,127.2,89.2,-12.59
10:59:24.595,30,1,3,3.71,668.7,464.9,126.9,89.1,-11.91
10:59:24.738,31,1,3,3.42,668.8,464.7,127.3,89.0,-11.91
10:59:24.885,32,1,3,3.71,668.9,464.6,127.1,89.1,-10.92
10:59:25.044,33,1,4,4.32,668.8,464.9,127.6,88.9,-12.70
10:59:25.196,34,1,4,4.49,668.8,465.0,127.1,89.1,-12.77
10:59:25.343,35,1,3,3.66,668.6,464.7,126.8,89.1,-11.25
10:59:25.500,36,1,3,3.73,668.6,464.8,127.4,89.2,-11.93
10:59:25.682,37,1,3,3.20,668.8,464.6,126.5,88.9,-12.14
10:59:25.898,38,1,3,3.31,668.7,464.6,127.3,89.2,-12.13
10:59:26.096,39,1,3,3.14,668.7,464.7,126.6,89.0,-12.63
10:59:26.263,40,1,3,2.72,668.7,464.5,126.9,88.7,-12.48
10:59:26.416,41,1,3,3.43,668.8,464.6,127.0,89.3,-11.22
10:59:26.592,42,1,4,4.27,668.6,464.8,126.9,88.6,-12.80
10:59:26.765,43,1,3,3.50,668.6,464.6,127.0,89.3,-11.73
