group_id,anchor_id,vector_magnitude,predicted_angle,x_center,y_center,width,height,top_class,top_class_score,vector_x,vector_y,contribution_pct
1,0,3.1164,-47.8600,381.9900,213.1000,72.5800,54.5400,Leanbot_m45,0.8594,2.0909,-2.3110,13.7100
1,1,2.7286,-48.0700,382.5400,213.3500,73.2400,55.1200,Leanbot_m45,0.7591,1.8232,-2.0301,12.0100
1,2,2.4217,-51.8100,382.4300,213.5600,72.7400,55.2800,Leanbot_m45,0.7330,1.4973,-1.9033,10.6600
1,3,2.3714,-46.7600,382.2100,213.1300,73.0100,54.9700,Leanbot_m45,0.6444,1.6246,-1.7274,10.4300
1,4,2.3708,-49.3000,382.6500,213.3200,73.2000,55.3900,Leanbot_m45,0.7717,1.5461,-1.7973,10.4300
1,5,2.2481,-48.3600,382.2900,213.5000,72.9400,55.0300,Leanbot_m45,0.7028,1.4937,-1.6801,9.8900
1,6,2.1379,-48.2700,382.3500,213.3700,73.0600,55.1000,Leanbot_m45,0.6324,1.4232,-1.5954,9.4100
1,7,1.8851,-52.6400,382.4600,213.3600,72.7200,54.7900,Leanbot_m45,0.6512,1.1439,-1.4983,8.2900
1,8,1.5360,-44.5000,381.6900,213.3600,71.6600,54.5700,Leanbot_m45,0.4816,1.0956,-1.0765,6.7600
1,9,0.8866,-54.4100,381.6600,212.9600,72.7700,54.4000,Leanbot_m45,0.3194,0.5160,-0.7210,3.9000
1,10,0.6155,-55.7600,382.9600,213.8800,71.8500,53.9300,Leanbot_m45,0.2341,0.3464,-0.5089,2.7100
1,11,0.4158,-56.3900,382.1600,212.6800,71.8700,54.9300,Leanbot_m60,0.1391,0.2302,-0.3463,1.8300
1,12,0.0118,-42.6900,380.7100,212.8200,76.1100,53.8900,Leanbot_m30,0.0039,0.0087,-0.0080,0.0500
1,13,0.0064,-39.4500,379.8400,212.7000,74.8100,53.2600,Leanbot_m45,0.0017,0.0049,-0.0041,0.0300
2,0,3.1067,-53.6600,406.4600,489.4400,105.8000,106.5100,Leanbot_m45,0.8814,1.8411,-2.5024,16.2200
2,1,2.8398,-55.0200,407.0900,490.1800,105.8200,105.1800,Leanbot_m45,0.8514,1.6281,-2.3267,14.8300
2,2,2.5003,-53.2500,406.9900,489.2100,106.0800,106.2100,Leanbot_m45,0.7909,1.4959,-2.0034,13.0500
2,3,2.4185,-55.7400,406.8000,489.3600,104.5700,104.5600,Leanbot_m45,0.7426,1.3616,-1.9988,12.6300
2,4,2.2926,-56.3000,407.6800,490.4500,103.1700,104.6700,Leanbot_m45,0.7561,1.2722,-1.9073,11.9700
2,5,1.5229,-56.2700,407.4700,489.5700,106.5400,106.3600,Leanbot_m45,0.4901,0.8457,-1.2665,7.9500
2,6,1.2171,-54.2600,405.8400,489.0800,105.6600,105.1500,Leanbot_m45,0.5650,0.7109,-0.9879,6.3600
2,7,0.8926,-52.9400,406.8600,488.7400,106.3000,104.8800,Leanbot_m45,0.4469,0.5379,-0.7123,4.6600
2,8,0.5325,-55.6900,408.1000,490.1700,104.4600,106.5500,Leanbot_m45,0.2252,0.3001,-0.4398,2.7800
2,9,0.4596,-57.5500,407.9800,489.8000,101.4600,100.7000,Leanbot_m45,0.1662,0.2466,-0.3878,2.4000
2,10,0.3157,-57.4300,408.8000,490.1100,100.6100,103.1900,Leanbot_m45,0.1118,0.1699,-0.2660,1.6500
2,11,0.3004,-54.6900,406.3500,488.7600,105.0900,102.8800,Leanbot_m45,0.1213,0.1736,-0.2451,1.5700
2,12,0.1794,-50.8300,407.3500,489.0900,106.8900,105.5400,Leanbot_m45,0.0790,0.1133,-0.1391,0.9400
2,13,0.1503,-55.2700,409.0800,490.8300,101.3200,105.9900,Leanbot_m45,0.0627,0.0856,-0.1236,0.7800
2,14,0.1337,-47.6100,406.0900,489.0300,103.9500,104.8100,Leanbot_m45,0.0547,0.0902,-0.0988,0.7000
2,15,0.1108,-53.6800,407.7500,489.9400,106.0100,106.9300,Leanbot_m45,0.0507,0.0656,-0.0892,0.5800
2,16,0.0495,-52.9500,407.8100,489.5800,108.7800,106.2600,Leanbot_m45,0.0160,0.0298,-0.0395,0.2600
2,17,0.0330,-53.6600,407.3800,488.7400,102.6700,96.4100,Leanbot_m45,0.0157,0.0195,-0.0265,0.1700
2,18,0.0281,-53.5200,405.8600,485.1700,105.5700,98.5700,Leanbot_m45,0.0141,0.0167,-0.0226,0.1500
2,19,0.0255,-54.4400,406.1700,486.9300,105.0700,101.7800,Leanbot_m45,0.0124,0.0148,-0.0207,0.1300
2,20,0.0138,-47.6000,404.6300,488.8500,101.6900,106.0200,Leanbot_m45,0.0051,0.0093,-0.0102,0.0700
2,21,0.0104,-50.2100,406.1200,489.7200,103.9500,101.9100,Leanbot_m45,0.0032,0.0066,-0.0080,0.0500
2,22,0.0096,-55.1300,409.9400,490.9900,98.3100,102.0700,Leanbot_m45,0.0045,0.0055,-0.0079,0.0500
2,23,0.0083,-52.7100,406.9000,484.0600,104.2500,94.3500,Leanbot_m60,0.0033,0.0050,-0.0066,0.0400
2,24,0.0040,-51.2300,410.4600,491.8000,100.9000,102.1500,Leanbot_m45,0.0022,0.0025,-0.0031,0.0200
2,25,0.0035,-52.1400,405.6400,481.2600,98.9300,91.4400,Leanbot_m45,0.0015,0.0021,-0.0028,0.0200
3,0,2.8886,-52.3400,235.5300,214.7200,66.9900,58.7200,Leanbot_m45,0.8277,1.7649,-2.2867,13.3900
3,1,2.7315,-53.7300,235.0700,214.7000,66.1400,58.8700,Leanbot_m75,0.7613,1.6158,-2.2023,12.6600
3,2,2.5411,-54.3000,235.3400,214.4200,65.9400,58.8600,Leanbot_m45,0.7589,1.4829,-2.0635,11.7800
3,3,2.3528,-55.1800,235.1600,214.7900,65.7700,58.5900,Leanbot_m45,0.7154,1.3436,-1.9315,10.9100
3,4,2.3299,-56.1600,235.2400,214.6300,65.5700,58.3300,Leanbot_m45,0.6701,1.2974,-1.9352,10.8000
3,5,2.3076,-55.5700,234.9200,214.8700,65.7200,58.5800,Leanbot_m45,0.7297,1.3048,-1.9033,10.7000
3,6,2.2215,-57.0000,235.0600,214.7200,66.1600,58.4100,Leanbot_m75,0.6794,1.2100,-1.8630,10.3000
3,7,1.5938,-54.5100,235.3700,214.9200,67.5800,58.7500,Leanbot_m45,0.5861,0.9254,-1.2977,7.3900
3,8,1.5846,-51.5900,235.6400,214.2600,66.3300,58.3600,Leanbot_m45,0.5166,0.9844,-1.2417,7.3400
3,9,0.7227,-56.0000,235.3300,214.2500,65.2300,58.4900,Leanbot_m45,0.2536,0.4042,-0.5992,3.3500
3,10,0.1545,-57.8900,236.3500,213.9400,63.3300,57.8500,Leanbot_m45,0.0572,0.0821,-0.1308,0.7200
3,11,0.0726,-58.4600,235.1500,213.9200,66.0700,57.8300,Leanbot_m45,0.0236,0.0380,-0.0619,0.3400
3,12,0.0268,-38.6900,234.9600,214.5700,66.2100,59.1700,Leanbot_m75,0.0077,0.0209,-0.0167,0.1200
3,13,0.0184,-46.7800,233.7400,214.8000,70.7600,58.2200,Leanbot_m45,0.0047,0.0126,-0.0134,0.0900
3,14,0.0153,-49.8200,234.9700,214.3100,67.0300,58.4500,Leanbot_m60,0.0045,0.0099,-0.0117,0.0700
3,15,0.0075,-47.0100,233.5700,214.6100,70.6400,58.8200,Leanbot_m45,0.0021,0.0051,-0.0055,0.0300
3,16,0.0064,-62.0400,235.2900,214.1000,66.9100,59.3100,Leanbot_m75,0.0028,0.0030,-0.0056,0.0300
