vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15
2.5710,-51.3896,538.2101,208.7016,75.6649,52.5237,0.0863,0.0178,0.0014,0.0026,0.0031,0.0001,0.0016,0.0000,0.0001,0.0012,0.0235,0.0014,0.0004,0.0096,0.0009,0.0020,0.0187,0.0171,0.0284,0.5900,0.6920,0.7549,0.4770,0.1024
2.5285,-49.6846,539.2090,208.6486,77.5691,52.8247,0.0509,0.0156,0.0013,0.0039,0.0014,0.0001,0.0007,0.0000,0.0001,0.0007,0.0251,0.0008,0.0004,0.0068,0.0022,0.0029,0.0184,0.0061,0.0186,0.4983,0.6668,0.7508,0.5613,0.1354
2.4185,-55.7375,406.8011,489.3599,104.5666,104.5622,0.0445,0.0082,0.0017,0.0035,0.0022,0.0000,0.0018,0.0000,0.0001,0.0005,0.0139,0.0003,0.0005,0.0073,0.0007,0.0017,0.0159,0.0134,0.0473,0.7058,0.6555,0.7426,0.3086,0.0360
2.4540,-55.0495,539.7578,208.9717,77.2795,52.7525,0.0740,0.0178,0.0027,0.0028,0.0066,0.0001,0.0008,0.0000,0.0001,0.0019,0.0182,0.0004,0.0009,0.0239,0.0029,0.0049,0.0528,0.0334,0.0678,0.6326,0.6612,0.7390,0.2748,0.1394
2.4217,-51.8084,382.4309,213.5565,72.7379,55.2776,0.1113,0.0205,0.0018,0.0031,0.0056,0.0002,0.0007,0.0000,0.0001,0.0024,0.0166,0.0008,0.0005,0.0102,0.0010,0.0018,0.0298,0.0229,0.0253,0.5423,0.6834,0.7330,0.3971,0.0676
2.3076,-55.5690,234.9183,214.8696,65.7231,58.5780,0.0539,0.0088,0.0026,0.0025,0.0047,0.0001,0.0011,0.0000,0.0001,0.0005,0.0065,0.0007,0.0005,0.0036,0.0011,0.0037,0.0227,0.0263,0.0759,0.5937,0.6524,0.7297,0.2430,0.0646
2.3682,-53.9606,394.4297,325.8123,84.7156,68.0323,0.0304,0.0143,0.0016,0.0092,0.0024,0.0001,0.0013,0.0000,0.0003,0.0016,0.0176,0.0003,0.0004,0.0089,0.0007,0.0028,0.0214,0.0099,0.0176,0.6427,0.6419,0.7282,0.3589,0.0710
2.3136,-51.0044,394.6511,326.1778,85.5354,68.3365,0.0661,0.0099,0.0018,0.0019,0.0028,0.0001,0.0010,0.0000,0.0001,0.0006,0.0101,0.0007,0.0004,0.0052,0.0013,0.0021,0.0118,0.0095,0.0324,0.4888,0.6088,0.7221,0.4610,0.0636
2.1884,-48.2838,394.7959,325.9464,84.7990,68.5674,0.0354,0.0102,0.0007,0.0033,0.0020,0.0001,0.0012,0.0000,0.0001,0.0009,0.0292,0.0008,0.0002,0.0040,0.0012,0.0010,0.0088,0.0045,0.0084,0.3391,0.5582,0.7182,0.6084,0.0452
2.3528,-55.1752,235.1571,214.7918,65.7725,58.5860,0.0435,0.0101,0.0016,0.0027,0.0020,0.0001,0.0019,0.0000,0.0002,0.0005,0.0138,0.0006,0.0005,0.0050,0.0013,0.0022,0.0126,0.0145,0.0617,0.6660,0.6167,0.7154,0.3220,0.0535
