epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6575,1.93158,12.1501,1.58626,0,0,0,0,1.32248,11.424,1.17374,0.000102,0.000102,0.000102
2,30.7717,1.44214,11.5194,1.25821,0,0,0,0,1.23414,10.8849,0.98425,0.000219713,0.000219713,0.000219713
3,33.2234,1.20791,10.981,1.06427,0,0,0,0,1.08442,10.3827,0.89093,0.00033604,0.00033604,0.00033604
4,37.2265,1.15884,10.4915,0.98773,0.02083,0.00231,0.00115,0.00069,1.28808,10.5809,0.96813,0.000350763,0.000350763,0.000350763
5,39.3232,1.09788,10.169,0.98201,0.00711,0.04398,0.00942,0.0065,1.12424,10.3145,0.91615,0.000348684,0.000348684,0.000348684
6,41.5257,1.1189,10.0703,0.99489,0.02505,0.2662,0.02278,0.01516,1.23035,10.3625,0.95728,0.000346605,0.000346605,0.000346605
7,43.7163,1.08462,9.8131,1.00303,0.07633,0.46528,0.04775,0.02467,1.41604,10.7057,1.0739,0.000344526,0.000344526,0.000344526
8,46.1201,1.04366,9.70407,0.96139,0.06146,0.52546,0.0652,0.04826,1.00118,9.92223,0.87422,0.000342447,0.000342447,0.000342447
9,49.4113,1.09822,9.44858,1.0046,0.06016,0.63194,0.08224,0.05852,1.12841,9.89175,0.91473,0.000340368,0.000340368,0.000340368
10,51.6903,1.05459,9.19437,0.98534,0.07357,0.79398,0.11041,0.05965,1.47928,10.1716,1.05052,0.000338289,0.000338289,0.000338289
11,53.7591,1.03191,9.14349,0.97341,0.05195,0.91667,0.13527,0.08941,1.27086,9.55316,0.96019,0.00033621,0.00033621,0.00033621
12,55.9384,1.10618,8.7526,1.02446,0.04458,0.97917,0.15409,0.10564,1.20654,9.10828,0.94825,0.000334131,0.000334131,0.000334131
13,58.3453,0.99691,8.50091,0.99425,0.043,0.98843,0.17083,0.11219,1.27191,8.93118,0.97054,0.000332052,0.000332052,0.000332052
