epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1539,1.94451,12.1806,1.57941,0,0,0,0,1.09737,11.4264,1.06773,1.428e-05,1.428e-05,1.428e-05
2,18.3914,1.71191,12.1637,1.43191,0,0,0,0,1.0239,11.3408,0.99337,3.19179e-05,3.19179e-05,3.19179e-05
3,20.1192,1.35133,11.6531,1.19462,0,0,0,0,1.15555,11.1733,0.96994,4.93203e-05,4.93203e-05,4.93203e-05
4,21.9248,1.15431,11.2997,1.04922,0,0,0,0,1.17243,10.809,0.92348,6.6487e-05,6.6487e-05,6.6487e-05
5,23.7013,1.13746,10.9667,1.00851,0,0,0,0,1.09077,10.5093,0.87526,8.3418e-05,8.3418e-05,8.3418e-05
6,25.4823,1.08114,10.7189,0.97536,0,0,0,0,1.16583,10.4768,0.88706,0.000100114,0.000100114,0.000100114
7,27.2532,1.08248,10.5812,0.95092,0,0,0,0,1.22062,10.4355,0.90311,0.000116573,0.000116573,0.000116573
8,30.8244,1.01808,10.3858,0.93677,0,0,0,0,1.01269,10.2972,0.8562,0.000132798,0.000132798,0.000132798
9,32.6071,0.96914,10.0671,0.92874,0.02284,0.14815,0.01734,0.01176,1.15903,10.3541,0.90159,0.000148786,0.000148786,0.000148786
10,34.3142,0.96757,10.064,0.93894,0.03976,0.25,0.04146,0.03029,1.04273,10.2076,0.86666,0.000164539,0.000164539,0.000164539
11,36.0928,0.97926,9.78838,0.95027,0.03583,0.31944,0.04929,0.03652,0.96193,10.0991,0.84624,0.000180057,0.000180057,0.000180057
12,37.8999,0.97429,9.67361,0.942,0.07271,0.43981,0.08678,0.05535,1.30735,10.1944,0.93465,0.000195338,0.000195338,0.000195338
13,39.7249,0.97975,9.57618,0.94911,0.06964,0.53704,0.11885,0.07878,1.28586,10.1155,0.92427,0.000210384,0.000210384,0.000210384
14,41.9515,0.93787,9.42713,0.94178,0.0811,0.66667,0.17474,0.12137,1.19037,9.8985,0.90825,0.000225195,0.000225195,0.000225195
15,44.3315,0.95907,9.30441,0.93486,0.07314,0.84259,0.20017,0.14714,1.06016,9.60446,0.88604,0.00023977,0.00023977,0.00023977
16,45.9809,0.90009,8.82092,0.93605,0.07085,0.90278,0.21748,0.16329,1.02925,9.44208,0.88672,0.000254109,0.000254109,0.000254109
17,47.7854,0.90681,8.6151,0.93851,0.06159,0.94907,0.22757,0.172,0.97182,9.18049,0.88152,0.000268213,0.000268213,0.000268213
18,50.1948,0.934,8.29655,0.97669,0.05726,0.97222,0.2405,0.16814,1.15751,9.1104,0.92535,0.000282081,0.000282081,0.000282081
19,52.1611,0.91112,8.42751,0.94451,0.05226,0.98148,0.2451,0.16955,1.18385,8.94093,0.93958,0.000295713,0.000295713,0.000295713
20,53.8591,0.94232,8.01664,0.9618,0.55122,0.19459,0.30686,0.22956,0.99659,8.22118,0.91192,0.00030911,0.00030911,0.00030911
21,56.6172,0.89542,7.96806,0.94519,0.5018,0.20804,0.29998,0.21698,1.06593,7.87331,0.9313,0.000309876,0.000309876,0.000309876
