vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15
2.63,14.35,352.14,357.30,59.40,38.73,0.87,0.95,0.67,0.14,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.09
2.68,15.27,260.49,284.04,49.78,31.57,0.83,0.95,0.75,0.14,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07
2.75,15.09,260.36,284.03,49.33,31.66,0.84,0.95,0.78,0.15,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.12
2.79,16.07,352.00,357.36,59.35,39.02,0.80,0.95,0.71,0.25,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.17
2.60,15.47,441.12,281.71,53.49,33.22,0.78,0.94,0.72,0.15,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07
2.67,15.45,349.11,284.44,50.82,32.49,0.79,0.94,0.79,0.14,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.10
2.71,17.10,342.81,231.76,43.94,26.56,0.63,0.93,0.82,0.22,0.03,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.16
2.84,13.41,441.04,281.53,53.66,32.98,0.79,0.93,0.79,0.13,0.02,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.02,0.29
2.68,12.79,462.92,356.64,60.58,41.55,0.76,0.93,0.57,0.14,0.06,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.33
2.30,11.47,462.94,356.74,60.90,41.18,0.74,0.92,0.47,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.18
2.50,11.68,463.27,356.55,59.50,41.04,0.81,0.92,0.50,0.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.22
2.69,18.43,248.23,353.82,58.48,38.62,0.66,0.92,0.78,0.32,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
2.43,14.85,349.31,284.26,51.08,32.07,0.75,0.92,0.66,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06
2.71,14.10,343.12,231.76,43.67,26.62,0.76,0.92,0.79,0.13,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.02,0.20
2.89,15.83,423.06,227.48,43.79,28.95,0.77,0.92,0.78,0.29,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.23
2.88,11.62,269.47,230.46,44.43,27.52,0.80,0.92,0.75,0.10,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.34
2.62,17.25,260.49,283.98,49.70,31.55,0.66,0.92,0.80,0.21,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11
3.01,11.29,342.94,231.59,43.88,26.21,0.85,0.91,0.76,0.13,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.08,0.42
2.75,16.34,351.85,357.40,58.82,38.39,0.81,0.90,0.72,0.28,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.12
2.48,17.86,269.41,230.74,44.21,27.92,0.56,0.90,0.78,0.18,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.11
2.44,18.39,248.24,353.65,58.49,38.88,0.62,0.90,0.71,0.25,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
2.58,18.39,269.91,230.33,44.58,27.58,0.48,0.89,0.83,0.26,0.03,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.18
2.38,13.33,422.96,227.63,43.03,28.49,0.71,0.87,0.66,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.12
2.65,17.23,248.01,353.67,57.97,39.33,0.72,0.85,0.66,0.29,0.08,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.17
2.56,15.25,441.22,281.50,53.50,32.86,0.74,0.85,0.60,0.24,0.05,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.21
2.46,16.49,349.07,284.66,50.61,33.06,0.70,0.85,0.61,0.21,0.07,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.14
2.46,16.33,248.21,353.64,57.90,39.36,0.65,0.83,0.73,0.19,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.13
2.14,14.50,260.55,284.12,50.48,31.97,0.63,0.83,0.57,0.06,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.09
2.55,16.81,423.40,227.34,43.33,28.66,0.67,0.83,0.68,0.26,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.17
2.14,16.99,441.04,281.41,53.26,33.15,0.47,0.81,0.60,0.19,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12
2.14,15.60,352.63,357.44,58.56,39.47,0.55,0.80,0.64,0.11,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.11
2.23,17.40,260.46,284.14,50.04,32.19,0.49,0.80,0.75,0.15,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10
2.21,14.60,260.32,283.96,49.80,31.83,0.59,0.79,0.65,0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.16
2.19,19.63,349.74,284.57,51.73,33.21,0.42,0.76,0.79,0.21,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07
1.91,17.67,423.45,227.40,43.89,28.80,0.34,0.77,0.58,0.16,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.12
1.89,13.39,463.24,356.41,60.40,40.96,0.47,0.76,0.45,0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.19
1.98,17.39,260.42,283.86,49.28,31.37,0.48,0.76,0.51,0.17,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10
2.07,18.72,441.12,281.40,53.77,33.24,0.44,0.75,0.62,0.20,0.03,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08
2.11,17.93,247.71,353.62,57.95,38.91,0.47,0.75,0.65,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.11
2.03,15.37,440.57,281.71,53.85,33.68,0.52,0.74,0.59,0.10,0.02,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.15
1.89,16.83,349.49,284.43,51.63,32.50,0.50,0.73,0.57,0.08,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04
1.51,16.21,440.15,281.73,51.62,33.59,0.34,0.70,0.40,0.05,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04
1.72,15.54,342.91,231.72,44.28,26.49,0.50,0.69,0.48,0.04,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
1.58,15.88,440.31,281.59,53.83,33.59,0.33,0.66,0.46,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.10
1.31,12.72,463.30,356.44,60.03,41.12,0.34,0.63,0.20,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.09
1.28,15.43,343.39,231.62,43.31,26.30,0.23,0.63,0.33,0.04,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.09
1.21,13.14,462.08,356.26,58.78,40.79,0.33,0.62,0.20,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06
1.76,14.64,349.15,284.47,51.00,32.44,0.48,0.62,0.50,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12
1.69,17.50,260.28,284.02,50.30,31.61,0.41,0.61,0.53,0.10,0.03,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07
1.37,18.39,248.37,353.75,59.10,39.39,0.26,0.60,0.37,0.11,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04
1.12,20.82,268.98,230.67,44.07,28.00,0.04,0.60,0.39,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04
1.32,14.57,269.85,230.45,44.86,27.61,0.37,0.58,0.31,0.04,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05
1.76,10.07,423.06,227.52,42.98,28.51,0.57,0.54,0.37,0.06,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.27
1.26,16.03,352.57,357.24,58.57,39.87,0.24,0.57,0.27,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11
1.46,17.34,247.45,353.66,58.57,38.85,0.31,0.56,0.45,0.12,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.07
1.42,16.87,423.17,227.63,43.67,27.94,0.37,0.55,0.41,0.07,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04
1.31,17.17,349.19,284.21,51.32,31.88,0.31,0.53,0.39,0.05,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
1.19,20.30,260.35,283.90,49.48,31.24,0.14,0.53,0.39,0.12,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.04
1.10,16.69,343.16,231.85,43.98,26.64,0.19,0.49,0.29,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.08
1.23,19.53,349.32,284.56,50.64,32.45,0.18,0.49,0.44,0.10,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05
0.85,19.68,247.77,353.71,57.95,39.73,0.09,0.47,0.24,0.03,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
1.01,15.67,422.77,227.75,42.71,28.38,0.28,0.47,0.23,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
0.90,18.69,351.30,357.49,58.16,38.36,0.14,0.46,0.25,0.03,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
0.95,17.27,351.63,357.12,58.73,38.77,0.16,0.45,0.28,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
