epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,87.1238,0.84242,2.05033,0.90402,0.33542,0.60933,0.46957,0.37342,0.81226,1.89467,0.8712,0.000260396,0.000260396,0.000260396
43,89.9012,0.92853,2.02487,0.89821,0.35474,0.63889,0.47717,0.37872,0.80324,1.89261,0.87128,0.00025804,0.00025804,0.00025804
44,91.6354,0.84441,1.99178,0.90141,0.35408,0.62936,0.50664,0.39551,0.85912,1.86715,0.87985,0.000255683,0.000255683,0.000255683
45,93.5306,0.86587,2.00183,0.88511,0.36281,0.66084,0.51702,0.39652,0.88658,1.8472,0.88453,0.000253327,0.000253327,0.000253327
46,95.28,0.83268,1.95703,0.88043,0.38581,0.68886,0.514,0.41026,0.79418,1.84242,0.86521,0.000250971,0.000250971,0.000250971
47,97.0962,0.80042,1.87419,0.88524,0.38365,0.67737,0.51218,0.41926,0.72555,1.84976,0.85045,0.000248615,0.000248615,0.000248615
48,98.8419,0.77614,1.85274,0.88387,0.40294,0.69219,0.53172,0.43542,0.72863,1.8375,0.85182,0.000246259,0.000246259,0.000246259
49,101.18,0.8456,1.84568,0.90592,0.37559,0.67263,0.54575,0.44392,0.76985,1.82437,0.86445,0.000243902,0.000243902,0.000243902
50,103.786,0.83883,1.83342,0.87865,0.36881,0.68357,0.56393,0.44779,0.83081,1.79682,0.87693,0.000241546,0.000241546,0.000241546
51,105.594,0.81895,1.78601,0.89034,0.36248,0.70948,0.56677,0.45313,0.79891,1.76744,0.8683,0.00023919,0.00023919,0.00023919
52,107.424,0.76817,1.8258,0.88273,0.45375,0.7327,0.58242,0.47297,0.7726,1.72193,0.85754,0.000236834,0.000236834,0.000236834
53,109.161,0.80995,1.77032,0.88084,0.4563,0.69246,0.59078,0.47,0.81857,1.72178,0.86493,0.000234478,0.000234478,0.000234478
54,111.006,0.80201,1.73041,0.89453,0.42944,0.74424,0.59155,0.47664,0.7695,1.7067,0.85861,0.000232121,0.000232121,0.000232121
55,112.731,0.79189,1.79073,0.88719,0.43249,0.72541,0.60713,0.49494,0.74403,1.68611,0.8567,0.000229765,0.000229765,0.000229765
56,115.326,0.80297,1.69844,0.88271,0.42935,0.67846,0.60268,0.48043,0.81684,1.69028,0.87328,0.000227409,0.000227409,0.000227409
