target_id,calibrated_at,target_x,target_y,target_heading,points,fit_dx,fit_dy
1,2026-09-17 11:34:00,602.3,252.3,-4.6,90,58.5,-4.7
2,2026-09-17 12:00:11,679.2,290.2,178.1,150,-123.17,-4.02
3,2026-09-17 12:02:00,676.2,286.7,176.8,150,-121.86,-6.91
4,2026-09-17 12:03:20,679.9,288.7,-1.1,152,123.55,2.4
8,2026-09-17 12:10:02,685.5,478.5,93.3,152,-6.3,-110.19
9,2026-09-17 12:10:57,662.7,250.0,-89.8,152,0.31,98.58
10,2026-09-17 12:13:34,739.5,248.5,-145.8,146,-73.84,50.1
11,2026-09-17 12:14:20,680.7,291.0,144.8,147,-85.68,-60.34
12,2026-09-17 12:16:03,534.7,89.1,-99.1,150,-10.07,62.93
