target_id,calibrated_at,target_x,target_y,target_heading,points,fit_dx,fit_dy
1,2026-09-23 16:48:54,615.6,168.0,90.7,113,-0.16,-13.23
2,2026-09-23 16:50:58,830.0,451.9,71.5,113,6.0,-17.89
3,2026-09-23 16:52:00,452.8,138.1,131.5,110,-7.37,-8.34
