vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15
2.5906,-17.3515,175.2929,295.4810,92.7842,60.1333,0.6927,0.1989,0.0034,0.0044,0.0029,0.0016,0.0000,0.0000,0.0001,0.0044,0.0058,0.0234,0.0006,0.0205,0.0038,0.0030,0.0068,0.0124,0.0034,0.0214,0.0984,0.1950,0.6797,0.8923
2.3794,-15.1220,175.5382,295.5129,93.1697,59.9695,0.6801,0.2165,0.0050,0.0053,0.0038,0.0014,0.0000,0.0000,0.0001,0.0042,0.0041,0.0282,0.0007,0.0148,0.0034,0.0021,0.0040,0.0151,0.0021,0.0072,0.0590,0.1776,0.5270,0.8730
1.9668,-14.3358,127.4802,435.5806,110.4607,73.9007,0.5796,0.1366,0.0062,0.0082,0.0036,0.0011,0.0000,0.0000,0.0002,0.0063,0.0032,0.0156,0.0005,0.0176,0.0091,0.0043,0.0103,0.0081,0.0021,0.0044,0.0347,0.0906,0.3978,0.8403
2.0473,-15.9075,352.1975,294.2899,90.4579,59.0050,0.4743,0.2211,0.0088,0.0134,0.0032,0.0007,0.0000,0.0000,0.0004,0.0039,0.0042,0.0107,0.0010,0.0277,0.0074,0.0020,0.0072,0.0053,0.0014,0.0121,0.0891,0.1559,0.4041,0.8403
2.5790,-15.6642,347.2296,439.6686,109.7725,75.6830,0.7633,0.2471,0.0157,0.0073,0.0035,0.0012,0.0000,0.0000,0.0002,0.0031,0.0029,0.0139,0.0005,0.0170,0.0042,0.0026,0.0078,0.0251,0.0084,0.0219,0.0581,0.2055,0.6111,0.8304
2.2030,-6.9496,200.7207,192.4452,79.1897,48.9567,0.8302,0.4277,0.0627,0.0258,0.0020,0.0004,0.0000,0.0000,0.0002,0.0028,0.0012,0.0117,0.0008,0.0453,0.0142,0.0026,0.0320,0.0145,0.0052,0.0033,0.0143,0.0686,0.2257,0.7358
2.0186,-10.3651,510.1099,292.8575,93.1268,59.2010,0.7474,0.2239,0.0039,0.0042,0.0016,0.0022,0.0000,0.0000,0.0001,0.0048,0.0045,0.0299,0.0011,0.0237,0.0105,0.0054,0.0088,0.0067,0.0018,0.0034,0.0181,0.0504,0.2861,0.8284
2.4033,-10.0512,484.3541,187.6785,78.9664,49.6286,0.7486,0.4708,0.0396,0.0103,0.0023,0.0005,0.0000,0.0000,0.0004,0.0012,0.0021,0.0111,0.0009,0.0359,0.0077,0.0017,0.0114,0.0278,0.0106,0.0159,0.0647,0.0734,0.3573,0.8203
2.1917,-15.7733,352.4612,294.2205,90.5412,58.7823,0.5949,0.1778,0.0046,0.0042,0.0031,0.0015,0.0000,0.0000,0.0001,0.0040,0.0031,0.0205,0.0005,0.0102,0.0024,0.0015,0.0031,0.0120,0.0018,0.0076,0.0580,0.1635,0.5118,0.8151
2.1023,-12.6485,347.9211,439.9801,109.0902,74.6509,0.7294,0.1803,0.0111,0.0059,0.0017,0.0010,0.0000,0.0000,0.0002,0.0042,0.0018,0.0073,0.0004,0.0193,0.0055,0.0015,0.0095,0.0128,0.0051,0.0115,0.0338,0.0818,0.3649,0.8113
