timestamp,frame_id,group_id,num_anchors,magnitude,x_center,y_center,width,height,angle
11:00:19.914,380,1,3,5.78,759.0,284.8,94.7,68.8,-149.89
11:00:20.094,381,1,3,6.04,759.1,284.5,94.8,68.5,-150.41
11:00:20.247,382,1,3,5.96,759.2,284.7,94.5,68.5,-150.36
11:00:20.397,383,1,3,6.21,759.1,284.5,94.7,68.7,-150.40
11:00:20.583,384,1,3,6.11,759.1,284.6,94.6,68.7,-149.86
11:00:20.856,385,1,3,5.98,759.3,284.5,94.3,68.5,-149.50
11:00:21.072,386,1,2,4.86,759.1,284.8,94.4,68.7,-150.21
11:00:21.288,387,1,2,4.91,759.0,284.5,94.6,68.4,-150.28
11:00:21.490,388,1,3,5.91,759.1,284.7,94.6,68.7,-149.80
11:00:21.656,389,1,3,5.89,759.2,284.7,94.8,68.5,-150.18
11:00:21.831,390,1,3,6.02,759.1,284.9,94.7,69.1,-150.24
11:00:22.007,391,1,2,4.86,759.1,284.8,94.7,69.0,-150.45
11:00:22.176,392,1,3,6.09,759.2,284.6,94.5,69.2,-149.61
11:00:22.323,393,1,3,6.32,759.0,284.5,94.6,68.9,-149.95
11:00:22.467,394,1,2,4.88,759.1,284.5,94.6,68.7,-151.02
11:00:22.610,395,1,3,6.18,759.1,284.8,94.7,69.1,-149.72
11:00:22.750,396,1,3,6.03,759.0,284.5,94.2,69.1,-150.31
11:00:22.896,397,1,3,6.22,759.1,284.9,94.5,69.8,-149.63
11:00:23.029,398,1,2,4.90,759.1,285.0,94.3,68.9,-150.14
11:00:23.168,399,1,3,6.00,759.2,284.8,94.1,68.7,-150.22
11:00:23.309,400,1,3,6.06,759.4,284.4,94.5,68.2,-150.06
11:00:23.469,401,1,3,6.01,759.1,284.8,94.5,68.8,-149.93
11:00:23.609,402,1,3,5.83,759.2,284.7,94.7,68.5,-150.04
11:00:23.746,403,1,3,5.88,759.0,285.0,94.6,68.8,-149.99
11:00:23.898,404,1,3,5.81,759.2,284.6,94.6,69.0,-150.14
11:00:24.043,405,1,3,5.85,759.1,284.8,94.6,68.6,-150.22
11:00:24.196,406,1,3,6.01,759.3,284.6,94.4,68.6,-149.71
11:00:24.338,407,1,3,6.16,759.2,284.6,94.5,68.5,-149.53
11:00:24.495,408,1,3,6.24,759.1,284.8,94.7,68.9,-149.56
11:00:24.644,409,1,3,6.03,759.2,284.7,94.3,68.7,-149.65
