timestamp,frame_id,group_id,num_anchors,magnitude,x_center,y_center,width,height,angle
11:00:05.762,287,1,2,3.84,643.2,196.4,67.5,71.6,95.56
11:00:05.915,288,1,2,3.74,643.1,196.5,67.0,71.5,95.67
11:00:06.064,289,1,2,3.85,643.2,196.4,67.3,71.5,95.32
11:00:06.218,290,1,2,3.84,643.2,196.3,67.6,71.8,96.27
11:00:06.385,291,1,2,3.98,643.2,196.3,67.7,72.0,95.67
11:00:06.553,292,1,2,3.96,643.3,196.4,67.6,72.0,95.50
11:00:06.702,293,1,4,6.19,643.4,196.3,68.0,71.7,95.81
11:00:06.853,294,1,4,6.50,643.3,196.3,67.3,71.7,96.18
11:00:07.012,295,1,2,4.04,643.2,196.2,67.6,72.3,95.78
11:00:07.215,296,1,4,6.56,643.3,196.2,67.7,71.9,95.87
11:00:07.391,297,1,2,4.04,643.2,196.3,67.3,72.0,95.31
11:00:07.561,298,1,4,6.43,643.4,196.3,67.6,71.6,95.76
11:00:07.733,299,1,4,6.35,643.4,196.3,67.4,71.7,95.80
11:00:07.883,300,1,4,6.26,643.3,196.2,67.6,71.7,95.85
11:00:08.031,301,1,4,6.28,643.5,196.4,67.7,71.5,95.86
11:00:08.187,302,1,4,6.49,643.4,196.4,67.4,71.4,95.53
11:00:08.324,303,1,3,4.95,643.4,196.4,67.3,71.5,96.20
11:00:08.476,304,1,2,3.79,643.3,196.5,67.4,71.4,96.06
11:00:08.629,305,1,2,3.90,643.2,196.4,67.2,71.1,95.91
11:00:08.787,306,1,2,3.70,643.2,196.4,67.2,71.4,96.25
11:00:08.943,307,1,2,3.85,643.4,196.5,67.3,71.3,95.80
11:00:09.091,308,1,2,3.66,643.4,196.5,67.4,71.4,95.53
11:00:09.241,309,1,2,3.55,643.3,196.6,67.1,71.3,95.72
11:00:09.412,310,1,2,3.67,643.3,196.5,67.0,71.5,95.99
11:00:09.595,311,1,2,3.69,643.4,196.5,67.3,71.5,96.15
