epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,101.621,0.95154,4.47407,1.03909,0.39172,0.7434,0.53913,0.43701,0.76107,3.63688,0.92355,0.00025804,0.00025804,0.00025804
44,103.258,0.88136,4.20844,1.0544,0.40483,0.75378,0.56736,0.40883,1.01405,3.55017,0.99575,0.000255683,0.000255683,0.000255683
45,104.974,0.86018,4.26399,0.97225,0.4456,0.73024,0.58544,0.41749,1.05718,3.46792,1.02561,0.000253327,0.000253327,0.000253327
46,106.629,0.85462,4.01601,0.99231,0.43411,0.75123,0.57559,0.43525,0.92306,3.38514,0.98353,0.000250971,0.000250971,0.000250971
47,108.302,0.80542,4.10391,0.95675,0.45789,0.74431,0.59429,0.47062,0.80339,3.30996,0.94424,0.000248615,0.000248615,0.000248615
48,110.026,0.81162,3.87545,0.98679,0.49926,0.76119,0.62569,0.51427,0.73249,3.23632,0.9218,0.000246259,0.000246259,0.000246259
49,112.598,0.87395,3.81089,1.00589,0.45391,0.82655,0.62636,0.48652,0.86449,3.29057,0.94962,0.000243902,0.000243902,0.000243902
50,114.477,0.80988,3.82845,0.95879,0.44703,0.86967,0.62323,0.45689,1.00926,3.32251,0.99226,0.000241546,0.000241546,0.000241546
51,116.122,0.80558,3.89482,0.97224,0.40472,0.92914,0.59727,0.43182,1.03895,3.32865,1.00478,0.00023919,0.00023919,0.00023919
52,117.793,0.78187,3.82695,0.95296,0.3949,0.82092,0.58053,0.47764,0.72636,3.19159,0.9216,0.000236834,0.000236834,0.000236834
53,119.489,0.77909,3.77673,0.93938,0.41857,0.77857,0.58131,0.47783,0.72398,3.17867,0.92541,0.000234478,0.000234478,0.000234478
54,121.143,0.7806,3.6434,0.97497,0.40631,0.77348,0.57681,0.45848,0.80733,3.18879,0.94763,0.000232121,0.000232121,0.000232121
55,122.771,0.74811,3.51622,0.95506,0.37389,0.82481,0.57111,0.42963,0.9739,3.20853,0.9965,0.000229765,0.000229765,0.000229765
56,125.18,0.80932,3.65932,0.96137,0.43507,0.83714,0.63151,0.49208,0.86633,3.05076,0.95597,0.000227409,0.000227409,0.000227409
57,127.39,0.76514,3.69104,0.9607,0.4191,0.8745,0.63872,0.52217,0.73924,2.99016,0.92423,0.000225053,0.000225053,0.000225053
58,129.114,0.76717,3.51311,0.9648,0.42745,0.7963,0.6393,0.53546,0.68832,3.00542,0.91433,0.000222697,0.000222697,0.000222697
59,130.834,0.77439,3.60385,0.93951,0.38974,0.82419,0.59077,0.49545,0.67725,3.1136,0.91135,0.00022034,0.00022034,0.00022034
