group_id,anchor_id,vector_magnitude,predicted_angle,x_center,y_center,width,height,top_class,top_class_score,vector_x,vector_y,contribution_pct
1,0,2.4306,-171.0400,532.0600,211.1700,87.4200,51.2500,Leanbot_p180,0.8672,-2.4009,-0.3787,20.4100
1,1,2.1737,-171.7500,532.0700,211.1100,87.5000,51.6300,Leanbot_p180,0.7917,-2.1512,-0.3120,18.2500
1,2,1.4544,-171.3900,531.9100,211.0400,87.4000,51.1900,Leanbot_p180,0.6013,-1.4380,-0.2179,12.2100
1,3,1.3473,-168.3400,530.8800,210.8900,89.8200,52.1800,Leanbot_p195,0.5461,-1.3195,-0.2723,11.3100
1,4,1.0564,-167.6500,530.3900,211.1300,89.2500,51.2400,Leanbot_p195,0.4189,-1.0320,-0.2259,8.8700
1,5,0.9511,-174.6100,530.4200,210.8200,88.6000,51.5100,Leanbot_p195,0.4058,-0.9469,-0.0893,7.9900
1,6,0.6651,-173.7600,532.0300,211.5800,87.6100,51.6000,Leanbot_p180,0.3147,-0.6611,-0.0723,5.5800
1,7,0.5409,-175.8300,531.8700,211.4400,87.5900,51.0500,Leanbot_p180,0.2534,-0.5394,-0.0393,4.5400
1,8,0.3827,-173.5300,532.0400,211.1300,87.3100,51.2500,Leanbot_p180,0.1887,-0.3803,-0.0431,3.2100
1,9,0.2628,-172.6800,531.8200,211.2200,87.5000,50.3000,Leanbot_p180,0.1277,-0.2606,-0.0335,2.2100
1,10,0.1941,-171.0600,532.4600,210.8500,87.4600,49.7200,Leanbot_p180,0.0734,-0.1917,-0.0302,1.6300
1,11,0.1054,-157.7000,530.1300,210.4400,84.2300,51.2700,Leanbot_m150,0.0395,-0.0975,-0.0400,0.8900
1,12,0.0563,-173.2900,531.9000,210.8900,87.5200,51.0900,Leanbot_p195,0.0207,-0.0559,-0.0066,0.4700
1,13,0.0495,-164.1400,531.1000,210.6200,84.1700,51.0500,Leanbot_p195,0.0178,-0.0476,-0.0135,0.4200
1,14,0.0408,-160.7600,532.0500,211.0200,87.2800,49.5200,Leanbot_m150,0.0157,-0.0385,-0.0135,0.3400
1,15,0.0405,-168.0100,531.6600,211.1300,85.5400,49.0800,Leanbot_p195,0.0164,-0.0396,-0.0084,0.3400
1,16,0.0391,-159.2800,532.3500,210.3800,85.9400,51.8800,Leanbot_m150,0.0156,-0.0366,-0.0138,0.3300
