group_id,anchor_id,vector_magnitude,predicted_angle,x_center,y_center,width,height,top_class,top_class_score,vector_x,vector_y,contribution_pct
3,8,0.2315,-19.0400,485.1000,187.3100,77.3000,47.8700,Leanbot_0,0.0750,0.2188,-0.0755,1.5300
3,9,0.2138,-14.5200,484.2200,187.6400,79.6100,49.3200,Leanbot_0,0.0830,0.2069,-0.0536,1.4200
3,10,0.1980,-6.3000,484.2100,187.8000,79.8500,48.1400,Leanbot_0,0.1084,0.1968,-0.0217,1.3100
3,11,0.0937,-23.9000,484.3000,187.9400,79.9100,48.9100,Leanbot_m15,0.0239,0.0856,-0.0379,0.6200
3,12,0.0537,-6.0900,484.6500,187.5400,80.3800,48.5200,Leanbot_p15,0.0214,0.0534,-0.0057,0.3600
3,13,0.0209,-25.6500,483.8700,188.3000,80.6800,45.7500,Leanbot_m15,0.0144,0.0188,-0.0090,0.1400
3,14,0.0197,-17.9000,484.0900,188.1400,79.2000,46.8600,Leanbot_0,0.0088,0.0187,-0.0060,0.1300
3,15,0.0116,-19.9200,483.8500,188.2200,78.8700,48.5400,Leanbot_m15,0.0051,0.0109,-0.0040,0.0800
3,16,0.0085,-32.2400,495.2700,188.2200,57.6200,47.4200,Leanbot_m45,0.0035,0.0072,-0.0046,0.0600
3,17,0.0066,-35.1300,483.5300,187.7900,78.7000,47.3300,Leanbot_m15,0.0067,0.0054,-0.0038,0.0400
3,18,0.0040,-2.2900,484.5800,187.9200,79.8200,47.0500,Leanbot_p15,0.0018,0.0040,-0.0002,0.0300
3,19,0.0009,-40.7400,473.5200,189.0700,100.7500,46.8100,Leanbot_p15,0.0011,0.0007,-0.0006,0.0100
4,0,2.2364,-14.8000,337.6900,192.2300,77.6200,48.4300,Leanbot_m15,0.7823,2.1622,-0.5714,18.7600
4,1,2.0540,-13.4800,337.7900,192.3600,77.7900,48.2300,Leanbot_m15,0.6836,1.9974,-0.4788,17.2300
4,2,1.7161,-16.3300,338.0900,192.2700,77.0500,48.5100,Leanbot_m15,0.6068,1.6469,-0.4826,14.4000
4,3,1.6540,-15.3900,338.0500,192.2200,77.2800,48.4900,Leanbot_m15,0.6729,1.5947,-0.4390,13.8800
4,4,1.3840,-18.6900,337.3600,192.0400,78.0100,48.2100,Leanbot_m30,0.4197,1.3110,-0.4434,11.6100
4,5,1.1300,-19.1600,337.4600,192.1400,77.7800,47.8900,Leanbot_0,0.3718,1.0674,-0.3709,9.4800
4,6,0.9851,-10.7200,337.6100,192.2300,77.2300,47.3900,Leanbot_0,0.4350,0.9679,-0.1832,8.2600
4,7,0.6222,-10.1000,337.6200,192.5300,77.3600,47.5000,Leanbot_0,0.3039,0.6126,-0.1091,5.2200
4,8,0.0417,-23.1200,337.7500,192.4400,77.2000,49.6400,Leanbot_m15,0.0130,0.0384,-0.0164,0.3500
4,9,0.0178,-26.8400,338.1100,191.7500,77.3400,47.8400,Leanbot_m15,0.0047,0.0159,-0.0080,0.1500
4,10,0.0169,-31.3800,337.8200,192.6400,77.3600,49.0000,Leanbot_m15,0.0049,0.0145,-0.0088,0.1400
4,11,0.0163,-28.9500,337.3500,192.4100,78.0600,49.9500,Leanbot_0,0.0045,0.0143,-0.0079,0.1400
4,12,0.0158,-31.4900,340.1500,191.5800,72.7900,47.8900,Leanbot_m45,0.0045,0.0135,-0.0082,0.1300
4,13,0.0130,-26.9300,337.6200,192.7900,77.5400,46.2400,Leanbot_0,0.0059,0.0116,-0.0059,0.1100
4,14,0.0098,-40.6800,337.3000,192.2200,79.5100,45.8500,Leanbot_m15,0.0042,0.0074,-0.0064,0.0800
4,15,0.0080,-30.1900,338.5300,191.9900,77.8300,46.4700,Leanbot_m15,0.0046,0.0069,-0.0040,0.0700
4,16,0.0054,-43.3700,337.9900,191.4100,77.9400,46.2500,Leanbot_m15,0.0026,0.0039,-0.0037,0.0500
4,17,0.0042,-20.7500,338.2300,191.9400,78.1400,49.5500,Leanbot_p15,0.0015,0.0040,-0.0015,0.0400
4,18,0.0030,-30.5000,338.4500,191.9600,78.0000,49.1400,Leanbot_m15,0.0011,0.0026,-0.0015,0.0300
4,19,0.0027,-58.5800,337.9200,192.7100,78.3700,45.9900,Leanbot_m15,0.0029,0.0014,-0.0023,0.0200
