vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15,x1,y1,x2,y2,group_id,group_x_center,group_y_center,group_width,group_height
0.1956,-11.8440,174.7737,295.6673,91.1610,58.1568,0.0687,0.0372,0.0037,0.0047,0.0022,0.0003,0.0001,0.0000,0.0009,0.0026,0.0008,0.0013,0.0003,0.0031,0.0012,0.0002,0.0021,0.0020,0.0006,0.0033,0.0161,0.0156,0.0296,0.0455,129.1931,266.5889,220.3542,324.7457,1,175.2200,295.5400,92.5000,59.8600
0.1032,-15.6898,176.1379,295.9612,92.5055,58.8912,0.0234,0.0207,0.0031,0.0022,0.0006,0.0002,0.0001,0.0000,0.0004,0.0010,0.0007,0.0007,0.0002,0.0027,0.0005,0.0003,0.0011,0.0014,0.0004,0.0028,0.0084,0.0135,0.0142,0.0321,129.8852,266.5156,222.3907,325.4068,1,175.2200,295.5400,92.5000,59.8600
0.0423,-24.4277,174.3595,294.9041,95.0746,59.1011,0.0058,0.0055,0.0010,0.0006,0.0005,0.0002,0.0000,0.0001,0.0003,0.0008,0.0008,0.0006,0.0003,0.0008,0.0006,0.0006,0.0015,0.0011,0.0004,0.0010,0.0032,0.0102,0.0049,0.0182,126.8222,265.3536,221.8968,324.4547,1,175.2200,295.5400,92.5000,59.8600
0.0131,-20.4184,172.7330,295.6110,86.9978,58.9182,0.0057,0.0019,0.0004,0.0006,0.0005,0.0003,0.0001,0.0001,0.0001,0.0006,0.0003,0.0010,0.0003,0.0005,0.0006,0.0002,0.0009,0.0009,0.0003,0.0003,0.0014,0.0011,0.0040,0.0025,129.2341,266.1519,216.2319,325.0701,1,175.2200,295.5400,92.5000,59.8600
0.0098,-5.5317,172.6512,295.9712,87.0997,58.2766,0.0039,0.0023,0.0011,0.0021,0.0009,0.0002,0.0001,0.0001,0.0007,0.0007,0.0004,0.0005,0.0003,0.0006,0.0008,0.0002,0.0011,0.0007,0.0003,0.0003,0.0012,0.0013,0.0017,0.0019,129.1013,266.8329,216.2010,325.1095,1,175.2200,295.5400,92.5000,59.8600
0.0072,-31.0183,178.1534,295.9171,88.0276,57.0453,0.0009,0.0017,0.0004,0.0003,0.0004,0.0001,0.0001,0.0001,0.0002,0.0004,0.0003,0.0005,0.0001,0.0003,0.0002,0.0003,0.0007,0.0005,0.0001,0.0006,0.0011,0.0027,0.0007,0.0020,134.1396,267.3944,222.1672,324.4398,1,175.2200,295.5400,92.5000,59.8600
0.0018,-38.0477,174.5206,293.6502,90.4073,55.2790,0.0012,0.0009,0.0006,0.0005,0.0005,0.0003,0.0004,0.0004,0.0004,0.0005,0.0006,0.0006,0.0006,0.0008,0.0007,0.0006,0.0004,0.0006,0.0005,0.0004,0.0007,0.0006,0.0009,0.0011,129.3169,266.0107,219.7242,321.2897,1,175.2200,295.5400,92.5000,59.8600
0.0014,-52.2674,174.1852,293.7676,91.1089,55.4755,0.0013,0.0008,0.0007,0.0007,0.0008,0.0003,0.0003,0.0004,0.0005,0.0006,0.0010,0.0006,0.0010,0.0013,0.0008,0.0006,0.0005,0.0005,0.0008,0.0006,0.0007,0.0006,0.0010,0.0013,128.6307,266.0299,219.7396,321.5054,1,175.2200,295.5400,92.5000,59.8600
0.0006,-99.0128,175.8548,293.6180,96.1638,56.5223,0.0009,0.0008,0.0005,0.0006,0.0007,0.0003,0.0005,0.0004,0.0005,0.0007,0.0008,0.0008,0.0008,0.0011,0.0008,0.0006,0.0005,0.0005,0.0005,0.0005,0.0007,0.0006,0.0007,0.0012,127.7729,265.3569,223.9367,321.8792,1,175.2200,295.5400,92.5000,59.8600
2.5790,-15.6642,347.2296,439.6686,109.7725,75.6830,0.7633,0.2471,0.0157,0.0073,0.0035,0.0012,0.0000,0.0000,0.0002,0.0031,0.0029,0.0139,0.0005,0.0170,0.0042,0.0026,0.0078,0.0251,0.0084,0.0219,0.0581,0.2055,0.6111,0.8304,292.3434,401.8271,402.1159,477.5101,2,347.6100,439.8900,108.7800,75.1000
2.1023,-12.6485,347.9211,439.9801,109.0902,74.6509,0.7294,0.1803,0.0111,0.0059,0.0017,0.0010,0.0000,0.0000,0.0002,0.0042,0.0018,0.0073,0.0004,0.0193,0.0055,0.0015,0.0095,0.0128,0.0051,0.0115,0.0338,0.0818,0.3649,0.8113,293.3760,402.6546,402.4662,477.3056,2,347.6100,439.8900,108.7800,75.1000
1.9665,-18.0142,347.8353,439.9816,108.1403,76.3704,0.5685,0.1339,0.0103,0.0059,0.0035,0.0003,0.0000,0.0000,0.0005,0.0017,0.0041,0.0034,0.0006,0.0212,0.0033,0.0020,0.0108,0.0141,0.0123,0.0289,0.0726,0.2204,0.3791,0.6958,293.7651,401.7964,401.9054,478.1668,2,347.6100,439.8900,108.7800,75.1000
1.7464,-19.1896,347.5762,439.6441,108.8903,74.5693,0.3644,0.1274,0.0069,0.0089,0.0014,0.0004,0.0001,0.0000,0.0003,0.0021,0.0053,0.0031,0.0004,0.0237,0.0040,0.0013,0.0112,0.0075,0.0038,0.0234,0.1058,0.1579,0.3507,0.7444,293.1310,402.3594,402.0213,476.9287,2,347.6100,439.8900,108.7800,75.1000
1.6815,-19.0677,347.3125,439.7494,108.9413,74.9171,0.4030,0.1164,0.0051,0.0052,0.0018,0.0005,0.0000,0.0000,0.0002,0.0025,0.0021,0.0046,0.0005,0.0188,0.0042,0.0031,0.0050,0.0061,0.0042,0.0302,0.0821,0.1387,0.4261,0.6061,292.8419,402.2908,401.7832,477.2079,2,347.6100,439.8900,108.7800,75.1000
1.0840,-7.9238,347.8062,440.7507,107.6700,73.3655,0.4593,0.1400,0.0060,0.0045,0.0012,0.0009,0.0000,0.0000,0.0003,0.0032,0.0014,0.0074,0.0005,0.0086,0.0036,0.0011,0.0035,0.0051,0.0012,0.0019,0.0109,0.0389,0.0826,0.4050,293.9712,404.0679,401.6412,477.4334,2,347.6100,439.8900,108.7800,75.1000
0.9207,-22.6327,347.9630,439.7139,107.8663,76.2095,0.1775,0.0417,0.0036,0.0031,0.0031,0.0004,0.0001,0.0000,0.0003,0.0025,0.0040,0.0021,0.0007,0.0076,0.0047,0.0029,0.0073,0.0047,0.0037,0.0141,0.0514,0.1202,0.2572,0.3255,294.0298,401.6091,401.8961,477.8187,2,347.6100,439.8900,108.7800,75.1000
0.2099,-12.0982,347.1876,439.5694,109.0789,74.7648,0.0596,0.0282,0.0047,0.0042,0.0005,0.0004,0.0001,0.0000,0.0004,0.0011,0.0004,0.0006,0.0002,0.0022,0.0006,0.0003,0.0025,0.0015,0.0011,0.0039,0.0085,0.0148,0.0161,0.0911,292.6481,402.1870,401.7270,476.9518,2,347.6100,439.8900,108.7800,75.1000
0.2011,-16.2835,347.7452,440.0427,108.2399,73.5309,0.0603,0.0148,0.0013,0.0018,0.0003,0.0005,0.0001,0.0000,0.0001,0.0010,0.0011,0.0020,0.0003,0.0030,0.0011,0.0005,0.0026,0.0021,0.0008,0.0024,0.0080,0.0121,0.0382,0.0823,293.6252,403.2772,401.8651,476.8081,2,347.6100,439.8900,108.7800,75.1000
0.1945,-6.7572,347.5119,439.8353,107.9467,74.6772,0.0806,0.0405,0.0031,0.0046,0.0006,0.0004,0.0000,0.0001,0.0004,0.0013,0.0004,0.0005,0.0002,0.0027,0.0013,0.0004,0.0026,0.0010,0.0007,0.0019,0.0074,0.0108,0.0089,0.0573,293.5386,402.4967,401.4852,477.1738,2,347.6100,439.8900,108.7800,75.1000
0.0772,-6.9283,348.1182,441.1914,108.8624,71.7202,0.0415,0.0135,0.0018,0.0025,0.0008,0.0005,0.0001,0.0001,0.0001,0.0009,0.0004,0.0033,0.0007,0.0022,0.0023,0.0004,0.0018,0.0014,0.0004,0.0004,0.0022,0.0028,0.0082,0.0192,293.6870,405.3313,402.5493,477.0515,2,347.6100,439.8900,108.7800,75.1000
0.0630,-1.1780,347.6318,440.6441,107.1941,72.1945,0.0305,0.0184,0.0027,0.0014,0.0006,0.0004,0.0000,0.0001,0.0003,0.0009,0.0002,0.0011,0.0002,0.0007,0.0007,0.0003,0.0012,0.0010,0.0004,0.0004,0.0018,0.0020,0.0027,0.0113,294.0347,404.5469,401.2288,476.7414,2,347.6100,439.8900,108.7800,75.1000
0.0421,-16.5670,347.3228,440.0570,108.2450,74.8284,0.0092,0.0088,0.0019,0.0013,0.0005,0.0002,0.0001,0.0000,0.0005,0.0005,0.0003,0.0005,0.0001,0.0014,0.0003,0.0002,0.0011,0.0010,0.0004,0.0020,0.0033,0.0065,0.0042,0.0139,293.2003,402.6428,401.4453,477.4712,2,347.6100,439.8900,108.7800,75.1000
0.0285,-35.7834,345.7258,439.5775,110.6737,75.0195,0.0034,0.0034,0.0005,0.0004,0.0004,0.0002,0.0001,0.0001,0.0002,0.0006,0.0009,0.0004,0.0002,0.0008,0.0005,0.0004,0.0014,0.0008,0.0004,0.0018,0.0041,0.0107,0.0047,0.0059,290.3889,402.0677,401.0627,477.0872,2,347.6100,439.8900,108.7800,75.1000
0.0207,-24.1789,347.0238,440.8594,109.2427,74.3694,0.0042,0.0030,0.0004,0.0010,0.0004,0.0003,0.0001,0.0001,0.0002,0.0012,0.0006,0.0004,0.0003,0.0008,0.0010,0.0005,0.0007,0.0005,0.0003,0.0006,0.0031,0.0027,0.0063,0.0063,292.4025,403.6747,401.6452,478.0441,2,347.6100,439.8900,108.7800,75.1000
0.0156,-26.9157,347.0195,440.5398,109.2946,74.7682,0.0034,0.0025,0.0002,0.0006,0.0005,0.0002,0.0002,0.0001,0.0002,0.0009,0.0005,0.0003,0.0002,0.0008,0.0010,0.0002,0.0008,0.0005,0.0003,0.0005,0.0025,0.0037,0.0032,0.0044,292.3722,403.1557,401.6668,477.9239,2,347.6100,439.8900,108.7800,75.1000
0.0118,6.1551,346.5749,441.2430,104.9048,69.1357,0.0048,0.0044,0.0017,0.0016,0.0007,0.0002,0.0001,0.0001,0.0004,0.0004,0.0001,0.0004,0.0003,0.0011,0.0006,0.0001,0.0003,0.0005,0.0002,0.0002,0.0008,0.0005,0.0007,0.0017,294.1225,406.6751,399.0273,475.8108,2,347.6100,439.8900,108.7800,75.1000
0.0086,-42.9525,346.0537,438.9815,108.9469,78.0628,0.0008,0.0011,0.0003,0.0006,0.0004,0.0002,0.0002,0.0001,0.0002,0.0005,0.0007,0.0001,0.0002,0.0007,0.0008,0.0004,0.0005,0.0003,0.0002,0.0007,0.0028,0.0030,0.0021,0.0015,291.5803,399.9501,400.5272,478.0129,2,347.6100,439.8900,108.7800,75.1000
0.0075,-28.7816,356.0429,440.8401,90.4927,75.2595,0.0008,0.0022,0.0005,0.0003,0.0005,0.0001,0.0001,0.0001,0.0003,0.0003,0.0004,0.0005,0.0002,0.0003,0.0002,0.0002,0.0007,0.0006,0.0002,0.0006,0.0011,0.0029,0.0007,0.0019,310.7965,403.2104,401.2893,478.4698,2,347.6100,439.8900,108.7800,75.1000
0.0044,-31.8661,348.5962,440.3887,110.1578,70.0426,0.0012,0.0006,0.0002,0.0003,0.0001,0.0002,0.0002,0.0001,0.0001,0.0002,0.0002,0.0004,0.0002,0.0004,0.0002,0.0002,0.0004,0.0002,0.0001,0.0003,0.0011,0.0010,0.0009,0.0014,293.5173,405.3674,403.6751,475.4100,2,347.6100,439.8900,108.7800,75.1000
0.0044,-20.0366,346.5893,439.7731,110.2263,73.8891,0.0008,0.0012,0.0003,0.0007,0.0003,0.0003,0.0002,0.0002,0.0002,0.0005,0.0005,0.0001,0.0002,0.0004,0.0004,0.0003,0.0004,0.0002,0.0001,0.0003,0.0011,0.0013,0.0014,0.0009,291.4762,402.8286,401.7025,476.7177,2,347.6100,439.8900,108.7800,75.1000
2.4291,-8.9916,484.1547,187.7708,80.1076,49.5290,0.8020,0.5041,0.0230,0.0121,0.0019,0.0005,0.0000,0.0000,0.0002,0.0073,0.0012,0.0100,0.0004,0.0255,0.0107,0.0061,0.0249,0.0121,0.0037,0.0067,0.0336,0.0882,0.3847,0.7628,444.1009,163.0063,524.2085,212.5353,3,484.4200,187.7600,79.1200,49.1200
2.4033,-10.0512,484.3541,187.6785,78.9664,49.6286,0.7486,0.4708,0.0396,0.0103,0.0023,0.0005,0.0000,0.0000,0.0004,0.0012,0.0021,0.0111,0.0009,0.0359,0.0077,0.0017,0.0114,0.0278,0.0106,0.0159,0.0647,0.0734,0.3573,0.8203,444.8708,162.8642,523.8373,212.4928,3,484.4200,187.7600,79.1200,49.1200
2.2724,-13.4177,484.7103,187.7005,78.9941,48.8790,0.8074,0.2420,0.0371,0.0169,0.0043,0.0004,0.0000,0.0000,0.0003,0.0029,0.0012,0.0088,0.0008,0.0341,0.0086,0.0026,0.0162,0.0181,0.0198,0.0228,0.0444,0.1631,0.4001,0.7251,445.2133,163.2610,524.2074,212.1400,3,484.4200,187.7600,79.1200,49.1200
2.1208,-14.8654,484.5167,187.9298,78.8615,48.5972,0.6637,0.2335,0.0311,0.0066,0.0030,0.0004,0.0000,0.0000,0.0003,0.0014,0.0013,0.0027,0.0004,0.0167,0.0041,0.0027,0.0105,0.0172,0.0260,0.0456,0.0567,0.1531,0.3618,0.7269,445.0860,163.6312,523.9474,212.2284,3,484.4200,187.7600,79.1200,49.1200
1.9318,-8.9779,484.0656,187.3996,79.8910,49.5637,0.7399,0.3141,0.0252,0.0117,0.0014,0.0004,0.0000,0.0000,0.0002,0.0026,0.0014,0.0139,0.0011,0.0328,0.0065,0.0020,0.0148,0.0103,0.0075,0.0061,0.0211,0.0517,0.2955,0.6167,444.1201,162.6178,524.0110,212.1814,3,484.4200,187.7600,79.1200,49.1200
1.8462,-10.8529,484.3966,187.9760,78.8085,48.8732,0.7075,0.2003,0.0140,0.0044,0.0021,0.0008,0.0000,0.0000,0.0001,0.0016,0.0006,0.0044,0.0004,0.0109,0.0064,0.0024,0.0055,0.0186,0.0104,0.0108,0.0270,0.0389,0.2833,0.6608,444.9924,163.5394,523.8009,212.4126,3,484.4200,187.7600,79.1200,49.1200
0.6966,-6.6827,484.0958,188.2495,79.4651,49.2828,0.3768,0.1219,0.0107,0.0116,0.0032,0.0003,0.0000,0.0000,0.0003,0.0059,0.0010,0.0075,0.0018,0.0219,0.0150,0.0025,0.0112,0.0070,0.0014,0.0018,0.0119,0.0143,0.0845,0.1512,444.3632,163.6081,523.8283,212.8909,3,484.4200,187.7600,79.1200,49.1200
0.5543,-25.2548,485.8339,187.6447,75.1100,48.2598,0.1233,0.0420,0.0056,0.0028,0.0011,0.0001,0.0000,0.0000,0.0003,0.0010,0.0018,0.0018,0.0004,0.0040,0.0011,0.0022,0.0103,0.0073,0.0070,0.0211,0.0471,0.1036,0.1083,0.1574,448.2789,163.5148,523.3889,211.7746,3,484.4200,187.7600,79.1200,49.1200
0.2315,-19.0355,485.1025,187.3105,77.2975,47.8724,0.0750,0.0310,0.0037,0.0016,0.0011,0.0002,0.0001,0.0000,0.0002,0.0013,0.0014,0.0011,0.0006,0.0039,0.0028,0.0014,0.0057,0.0041,0.0045,0.0052,0.0134,0.0249,0.0464,0.0603,446.4537,163.3743,523.7512,211.2467,3,484.4200,187.7600,79.1200,49.1200
0.2138,-14.5178,484.2195,187.6411,79.6104,49.3156,0.0830,0.0270,0.0080,0.0046,0.0009,0.0003,0.0001,0.0001,0.0004,0.0011,0.0004,0.0007,0.0001,0.0043,0.0011,0.0003,0.0032,0.0040,0.0024,0.0063,0.0243,0.0133,0.0122,0.0657,444.4143,162.9833,524.0247,212.2989,3,484.4200,187.7600,79.1200,49.1200
0.1980,-6.3041,484.2131,187.7971,79.8476,48.1443,0.1084,0.0271,0.0072,0.0041,0.0005,0.0004,0.0001,0.0000,0.0002,0.0006,0.0004,0.0033,0.0006,0.0046,0.0014,0.0003,0.0037,0.0027,0.0014,0.0010,0.0031,0.0087,0.0120,0.0491,444.2893,163.7250,524.1369,211.8693,3,484.4200,187.7600,79.1200,49.1200
0.0937,-23.9046,484.3041,187.9364,79.9082,48.9120,0.0223,0.0135,0.0043,0.0020,0.0004,0.0002,0.0001,0.0000,0.0004,0.0008,0.0006,0.0003,0.0001,0.0022,0.0006,0.0002,0.0026,0.0018,0.0014,0.0092,0.0108,0.0151,0.0110,0.0239,444.3501,163.4804,524.2582,212.3924,3,484.4200,187.7600,79.1200,49.1200
0.0537,-6.0920,484.6480,187.5352,80.3849,48.5178,0.0161,0.0214,0.0019,0.0011,0.0006,0.0003,0.0000,0.0001,0.0002,0.0014,0.0004,0.0007,0.0001,0.0011,0.0007,0.0003,0.0014,0.0007,0.0003,0.0011,0.0048,0.0037,0.0029,0.0115,444.4556,163.2763,524.8405,211.7941,3,484.4200,187.7600,79.1200,49.1200
0.0209,-25.6546,483.8690,188.3002,80.6778,45.7494,0.0084,0.0085,0.0019,0.0022,0.0020,0.0001,0.0003,0.0002,0.0002,0.0006,0.0030,0.0008,0.0031,0.0101,0.0048,0.0011,0.0008,0.0008,0.0017,0.0010,0.0013,0.0008,0.0059,0.0144,443.5302,165.4255,524.2079,211.1749,3,484.4200,187.7600,79.1200,49.1200
0.0197,-17.9016,484.0889,188.1449,79.1970,46.8554,0.0088,0.0072,0.0012,0.0024,0.0013,0.0002,0.0002,0.0002,0.0003,0.0007,0.0014,0.0006,0.0015,0.0047,0.0034,0.0010,0.0007,0.0010,0.0013,0.0011,0.0019,0.0011,0.0026,0.0084,444.4904,164.7172,523.6874,211.5726,3,484.4200,187.7600,79.1200,49.1200
0.0116,-19.9242,483.8456,188.2228,78.8666,48.5429,0.0036,0.0039,0.0006,0.0009,0.0017,0.0002,0.0004,0.0002,0.0003,0.0005,0.0006,0.0004,0.0010,0.0024,0.0015,0.0012,0.0006,0.0003,0.0004,0.0014,0.0010,0.0010,0.0028,0.0051,444.4124,163.9514,523.2789,212.4942,3,484.4200,187.7600,79.1200,49.1200
0.0085,-32.2360,495.2715,188.2206,57.6174,47.4162,0.0013,0.0022,0.0004,0.0003,0.0005,0.0001,0.0001,0.0001,0.0003,0.0005,0.0002,0.0004,0.0001,0.0003,0.0001,0.0002,0.0008,0.0004,0.0001,0.0012,0.0014,0.0035,0.0007,0.0011,466.4628,164.5125,524.0802,211.9287,3,484.4200,187.7600,79.1200,49.1200
0.0066,-35.1322,483.5316,187.7882,78.6994,47.3287,0.0029,0.0024,0.0007,0.0014,0.0011,0.0002,0.0004,0.0003,0.0004,0.0008,0.0019,0.0009,0.0016,0.0035,0.0024,0.0011,0.0005,0.0006,0.0007,0.0006,0.0016,0.0008,0.0018,0.0067,444.1819,164.1239,522.8813,211.4526,3,484.4200,187.7600,79.1200,49.1200
0.0040,-2.2878,484.5849,187.9244,79.8193,47.0492,0.0014,0.0018,0.0007,0.0006,0.0004,0.0001,0.0001,0.0001,0.0005,0.0004,0.0002,0.0002,0.0002,0.0005,0.0004,0.0001,0.0004,0.0003,0.0002,0.0004,0.0008,0.0004,0.0007,0.0005,444.6752,164.3998,524.4946,211.4490,3,484.4200,187.7600,79.1200,49.1200
0.0009,-40.7363,473.5220,189.0691,100.7462,46.8127,0.0006,0.0011,0.0006,0.0003,0.0006,0.0003,0.0005,0.0003,0.0004,0.0004,0.0006,0.0009,0.0006,0.0009,0.0006,0.0006,0.0004,0.0004,0.0005,0.0004,0.0006,0.0005,0.0009,0.0010,423.1489,165.6627,523.8951,212.4755,3,484.4200,187.7600,79.1200,49.1200
2.2364,-14.8032,337.6891,192.2281,77.6189,48.4276,0.7156,0.2026,0.0084,0.0051,0.0017,0.0007,0.0000,0.0000,0.0001,0.0028,0.0035,0.0168,0.0008,0.0284,0.0045,0.0031,0.0113,0.0100,0.0079,0.0206,0.0565,0.1171,0.4975,0.7823,298.8796,168.0143,376.4985,216.4419,4,337.7500,192.2400,77.5300,48.2000
2.0540,-13.4810,337.7924,192.3602,77.7897,48.2342,0.6653,0.2592,0.0111,0.0082,0.0017,0.0006,0.0000,0.0000,0.0003,0.0040,0.0019,0.0078,0.0004,0.0205,0.0047,0.0024,0.0127,0.0092,0.0045,0.0254,0.0736,0.1027,0.3878,0.6836,298.8975,168.2431,376.6872,216.4772,4,337.7500,192.2400,77.5300,48.2000
1.7161,-16.3318,338.0895,192.2672,77.0459,48.5069,0.5590,0.1302,0.0125,0.0050,0.0031,0.0005,0.0000,0.0000,0.0002,0.0017,0.0020,0.0049,0.0008,0.0149,0.0077,0.0020,0.0096,0.0164,0.0086,0.0224,0.0932,0.1034,0.3170,0.6068,299.5665,168.0137,376.6124,216.5206,4,337.7500,192.2400,77.5300,48.2000
1.6540,-15.3899,338.0510,192.2218,77.2775,48.4947,0.5161,0.1154,0.0086,0.0028,0.0020,0.0006,0.0000,0.0000,0.0001,0.0012,0.0025,0.0076,0.0007,0.0146,0.0053,0.0021,0.0056,0.0113,0.0081,0.0202,0.0467,0.1132,0.2713,0.6729,299.4123,167.9745,376.6898,216.4691,4,337.7500,192.2400,77.5300,48.2000
1.3840,-18.6875,337.3575,192.0360,78.0079,48.2144,0.4146,0.0924,0.0131,0.0036,0.0029,0.0003,0.0001,0.0000,0.0002,0.0020,0.0020,0.0078,0.0007,0.0109,0.0031,0.0017,0.0107,0.0158,0.0114,0.0210,0.0574,0.0916,0.4197,0.3778,298.3535,167.9288,376.3615,216.1432,4,337.7500,192.2400,77.5300,48.2000
1.1300,-19.1608,337.4649,192.1427,77.7803,47.8949,0.3718,0.1002,0.0160,0.0076,0.0015,0.0002,0.0000,0.0000,0.0005,0.0017,0.0017,0.0026,0.0005,0.0129,0.0025,0.0016,0.0088,0.0092,0.0080,0.0388,0.0720,0.1099,0.2892,0.2413,298.5748,168.1952,376.3551,216.0901,4,337.7500,192.2400,77.5300,48.2000
0.9851,-10.7152,337.6145,192.2255,77.2336,47.3878,0.4350,0.1157,0.0157,0.0082,0.0018,0.0004,0.0001,0.0000,0.0002,0.0018,0.0020,0.0116,0.0010,0.0228,0.0060,0.0010,0.0087,0.0074,0.0038,0.0070,0.0215,0.0468,0.1467,0.2874,298.9977,168.5316,376.2313,215.9194,4,337.7500,192.2400,77.5300,48.2000
0.6222,-10.1005,337.6213,192.5326,77.3553,47.4963,0.3039,0.0881,0.0090,0.0084,0.0035,0.0003,0.0000,0.0000,0.0006,0.0045,0.0017,0.0045,0.0009,0.0194,0.0071,0.0012,0.0088,0.0052,0.0020,0.0062,0.0242,0.0208,0.0993,0.1399,298.9437,168.7844,376.2990,216.2808,4,337.7500,192.2400,77.5300,48.2000
0.0417,-23.1236,337.7467,192.4441,77.1982,49.6412,0.0071,0.0073,0.0005,0.0009,0.0005,0.0002,0.0001,0.0000,0.0002,0.0007,0.0009,0.0004,0.0003,0.0010,0.0007,0.0004,0.0007,0.0008,0.0005,0.0015,0.0057,0.0064,0.0080,0.0130,299.1476,167.6235,376.3458,217.2647,4,337.7500,192.2400,77.5300,48.2000
