vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15,x1,y1,x2,y2,group_id,group_x_center,group_y_center,group_width,group_height
2.5906,-17.3515,175.2929,295.4810,92.7842,60.1333,0.6927,0.1989,0.0034,0.0044,0.0029,0.0016,0.0000,0.0000,0.0001,0.0044,0.0058,0.0234,0.0006,0.0205,0.0038,0.0030,0.0068,0.0124,0.0034,0.0214,0.0984,0.1950,0.6797,0.8923,128.9008,265.4143,221.6850,325.5476,1,175.2200,295.5400,92.5000,59.8600
2.3794,-15.1220,175.5382,295.5129,93.1697,59.9695,0.6801,0.2165,0.0050,0.0053,0.0038,0.0014,0.0000,0.0000,0.0001,0.0042,0.0041,0.0282,0.0007,0.0148,0.0034,0.0021,0.0040,0.0151,0.0021,0.0072,0.0590,0.1776,0.5270,0.8730,128.9533,265.5281,222.1230,325.4976,1,175.2200,295.5400,92.5000,59.8600
2.0534,-15.7309,175.0319,295.6398,92.6048,59.8945,0.4788,0.2509,0.0075,0.0105,0.0036,0.0007,0.0000,0.0000,0.0002,0.0042,0.0049,0.0138,0.0013,0.0323,0.0119,0.0028,0.0074,0.0050,0.0016,0.0113,0.0835,0.1513,0.4338,0.8100,128.7295,265.6925,221.3343,325.5870,1,175.2200,295.5400,92.5000,59.8600
1.9657,-18.5612,175.1132,295.8256,91.8154,59.9633,0.4502,0.1919,0.0049,0.0085,0.0017,0.0006,0.0001,0.0000,0.0003,0.0027,0.0040,0.0083,0.0007,0.0281,0.0035,0.0012,0.0065,0.0055,0.0027,0.0346,0.1438,0.1106,0.5068,0.6922,129.2055,265.8440,221.0209,325.8072,1,175.2200,295.5400,92.5000,59.8600
1.8625,-15.1591,174.6065,295.5618,91.4642,59.8123,0.5722,0.1808,0.0049,0.0071,0.0034,0.0007,0.0000,0.0000,0.0001,0.0089,0.0031,0.0174,0.0006,0.0245,0.0068,0.0014,0.0085,0.0059,0.0013,0.0089,0.0628,0.0993,0.4911,0.5936,128.8744,265.6556,220.3386,325.4679,1,175.2200,295.5400,92.5000,59.8600
1.6139,-14.5676,175.5933,295.4763,92.8676,59.6299,0.4245,0.1603,0.0087,0.0048,0.0026,0.0006,0.0000,0.0000,0.0003,0.0030,0.0029,0.0080,0.0005,0.0114,0.0022,0.0016,0.0057,0.0072,0.0024,0.0094,0.0280,0.1149,0.3265,0.6436,129.1595,265.6613,222.0271,325.2912,1,175.2200,295.5400,92.5000,59.8600
0.6731,-15.1063,175.6234,295.3057,92.9511,59.3261,0.2412,0.0612,0.0022,0.0062,0.0013,0.0006,0.0000,0.0000,0.0004,0.0028,0.0015,0.0019,0.0003,0.0065,0.0018,0.0005,0.0046,0.0022,0.0009,0.0081,0.0490,0.0537,0.0928,0.2217,129.1479,265.6426,222.0990,324.9687,1,175.2200,295.5400,92.5000,59.8600
0.6382,-14.3958,174.8569,295.1160,93.0001,60.3268,0.1755,0.0778,0.0051,0.0049,0.0020,0.0004,0.0001,0.0000,0.0003,0.0029,0.0026,0.0022,0.0007,0.0102,0.0045,0.0016,0.0043,0.0026,0.0018,0.0050,0.0203,0.0460,0.1167,0.2469,128.3568,264.9526,221.3569,325.2794,1,175.2200,295.5400,92.5000,59.8600
0.5436,-15.6975,175.7490,295.3344,92.7232,59.8460,0.1694,0.0547,0.0045,0.0077,0.0011,0.0004,0.0001,0.0000,0.0004,0.0022,0.0012,0.0013,0.0002,0.0075,0.0015,0.0003,0.0042,0.0021,0.0009,0.0075,0.0337,0.0553,0.0799,0.1861,129.3874,265.4113,222.1107,325.2574,1,175.2200,295.5400,92.5000,59.8600
0.2541,-24.8631,174.9968,295.7155,91.3522,59.1031,0.0608,0.0201,0.0016,0.0033,0.0006,0.0003,0.0002,0.0000,0.0002,0.0013,0.0014,0.0026,0.0003,0.0053,0.0013,0.0004,0.0026,0.0016,0.0009,0.0085,0.0303,0.0401,0.0679,0.0570,129.3207,266.1640,220.6729,325.2671,1,175.2200,295.5400,92.5000,59.8600
