epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,71.9615,0.87891,4.03524,1.02737,0.31718,0.83624,0.52136,0.43508,0.69973,3.25162,0.94634,0.000260396,0.000260396,0.000260396
43,73.743,0.86912,4.03768,0.98915,0.31181,0.80383,0.50926,0.41972,0.69792,3.21779,0.95039,0.00025804,0.00025804,0.00025804
44,76.1252,0.80652,3.84037,0.99352,0.36936,0.74943,0.5134,0.39458,0.92363,3.19349,1.0118,0.000255683,0.000255683,0.000255683
45,77.5913,0.82475,3.97437,0.96525,0.30562,0.83162,0.52228,0.38358,1.0351,3.19051,1.03663,0.000253327,0.000253327,0.000253327
46,79.1169,0.8101,3.76499,0.96211,0.30063,0.83872,0.52946,0.4,0.97295,3.15885,1.01109,0.000250971,0.000250971,0.000250971
47,80.5549,0.84793,3.72391,0.99191,0.29444,0.8448,0.53578,0.41716,0.9056,3.13987,0.99782,0.000248615,0.000248615,0.000248615
48,82.0829,0.78158,3.67978,0.98037,0.35201,0.81368,0.56647,0.47638,0.69945,2.97454,0.93964,0.000246259,0.000246259,0.000246259
49,83.5328,0.82518,3.51647,0.99789,0.40179,0.79463,0.5888,0.48356,0.75451,2.92779,0.95719,0.000243902,0.000243902,0.000243902
50,85.0822,0.773,3.57799,0.94819,0.44184,0.74219,0.60291,0.49141,0.7847,2.88855,0.95816,0.000241546,0.000241546,0.000241546
51,86.7426,0.76594,3.60757,0.94255,0.43449,0.78307,0.60242,0.48965,0.7833,2.86781,0.95184,0.00023919,0.00023919,0.00023919
52,89.0871,0.78013,3.60941,0.96404,0.37415,0.83458,0.5467,0.46488,0.66761,2.85611,0.92836,0.000236834,0.000236834,0.000236834
53,90.8048,0.75317,3.58979,0.93669,0.35386,0.84729,0.54456,0.46142,0.66242,2.84493,0.92555,0.000234478,0.000234478,0.000234478
54,92.3024,0.76597,3.44966,0.97739,0.36789,0.81869,0.55317,0.47197,0.65399,2.81848,0.91372,0.000232121,0.000232121,0.000232121
55,93.7887,0.74911,3.46999,0.95889,0.38609,0.77071,0.55014,0.46659,0.6802,2.79662,0.9134,0.000229765,0.000229765,0.000229765
56,95.1953,0.78078,3.47879,0.94725,0.3866,0.78006,0.57177,0.48214,0.6989,2.81567,0.91722,0.000227409,0.000227409,0.000227409
