vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15
2.0890,-175.4029,381.9156,215.6974,81.0580,50.1006,0.0008,0.0099,0.0005,0.0032,0.0149,0.0032,0.0001,0.0002,0.0001,0.0172,0.1195,0.2762,0.8846,0.5829,0.2794,0.0501,0.0030,0.0010,0.0002,0.0000,0.0004,0.0008,0.0007,0.0044
2.4306,-171.0367,532.0568,211.1743,87.4217,51.2516,0.0012,0.0074,0.0013,0.0041,0.0220,0.0016,0.0002,0.0003,0.0000,0.0172,0.0835,0.3074,0.8672,0.6498,0.5302,0.1313,0.0080,0.0022,0.0005,0.0000,0.0006,0.0007,0.0004,0.0074
1.9617,-175.3273,224.6664,220.8945,80.0993,50.3940,0.0011,0.0112,0.0007,0.0034,0.0159,0.0029,0.0001,0.0002,0.0001,0.0152,0.0800,0.2969,0.8264,0.5540,0.2564,0.0457,0.0029,0.0012,0.0002,0.0000,0.0003,0.0006,0.0010,0.0046
2.1618,-168.6857,569.0726,328.1639,100.7712,60.0338,0.0064,0.0167,0.0026,0.0084,0.0021,0.0001,0.0025,0.0003,0.0031,0.0094,0.0546,0.1404,0.7165,0.8059,0.5612,0.0024,0.0010,0.0015,0.0082,0.0034,0.0029,0.0013,0.0001,0.0206
2.1737,-171.7463,532.0704,211.1125,87.5023,51.6326,0.0024,0.0153,0.0032,0.0035,0.0121,0.0028,0.0001,0.0003,0.0001,0.0131,0.0815,0.3154,0.7917,0.5452,0.4805,0.0978,0.0083,0.0032,0.0005,0.0000,0.0002,0.0006,0.0008,0.0121
2.2111,-168.7941,569.1824,328.7008,101.6130,61.5028,0.0010,0.0060,0.0020,0.0032,0.0233,0.0019,0.0002,0.0006,0.0000,0.0166,0.0746,0.1780,0.7825,0.6317,0.5091,0.1606,0.0131,0.0046,0.0011,0.0000,0.0006,0.0006,0.0004,0.0107
2.1832,-170.2797,389.0078,321.9143,95.3425,61.5568,0.0010,0.0070,0.0013,0.0028,0.0187,0.0019,0.0001,0.0005,0.0000,0.0192,0.0815,0.1965,0.7819,0.6617,0.4577,0.1188,0.0087,0.0018,0.0005,0.0000,0.0005,0.0007,0.0006,0.0068
1.7092,-170.8896,568.4266,327.7773,101.4286,59.3799,0.0062,0.0118,0.0031,0.0055,0.0014,0.0001,0.0030,0.0005,0.0050,0.0148,0.0735,0.1031,0.5745,0.7389,0.3068,0.0015,0.0007,0.0016,0.0038,0.0035,0.0017,0.0017,0.0001,0.0171
1.8219,-171.1333,389.1364,320.9455,93.7385,60.9950,0.0040,0.0099,0.0021,0.0069,0.0015,0.0002,0.0037,0.0006,0.0050,0.0200,0.0578,0.1623,0.6077,0.7245,0.3506,0.0018,0.0011,0.0018,0.0065,0.0047,0.0027,0.0013,0.0000,0.0130
1.7660,-172.6652,389.2165,320.9128,93.9522,61.2224,0.0039,0.0104,0.0027,0.0056,0.0015,0.0002,0.0027,0.0008,0.0023,0.0152,0.0769,0.1971,0.5848,0.7199,0.2739,0.0009,0.0010,0.0020,0.0051,0.0028,0.0021,0.0011,0.0001,0.0134
1.6033,-164.1832,611.8934,492.5695,55.8516,96.4131,0.0207,0.0277,0.0030,0.0059,0.0011,0.0002,0.0014,0.0001,0.0014,0.0130,0.0479,0.0412,0.5240,0.7064,0.4866,0.0014,0.0011,0.0083,0.0168,0.0059,0.0066,0.0019,0.0003,0.1229
1.9063,-167.9506,184.0432,506.6906,114.6275,83.2076,0.0012,0.0100,0.0060,0.0049,0.0141,0.0020,0.0001,0.0007,0.0001,0.0112,0.0347,0.0796,0.6929,0.6998,0.3666,0.1319,0.0054,0.0023,0.0010,0.0000,0.0003,0.0004,0.0003,0.0061
1.9635,-174.6116,407.4849,498.3899,122.8320,82.9042,0.0061,0.0091,0.0024,0.0071,0.0008,0.0001,0.0042,0.0007,0.0037,0.0188,0.0570,0.3720,0.6561,0.6865,0.2883,0.0018,0.0005,0.0018,0.0060,0.0013,0.0030,0.0011,0.0000,0.0156
1.9283,-173.6949,215.7001,345.3946,97.2328,64.8260,0.0032,0.0120,0.0010,0.0032,0.0124,0.0022,0.0001,0.0002,0.0001,0.0157,0.0767,0.3498,0.6858,0.5485,0.3158,0.0769,0.0072,0.0023,0.0005,0.0000,0.0007,0.0013,0.0019,0.0194
1.8792,-171.3781,388.8875,320.8257,94.3849,61.1030,0.0076,0.0122,0.0023,0.0121,0.0009,0.0001,0.0026,0.0007,0.0031,0.0130,0.0531,0.2090,0.6580,0.6779,0.3917,0.0016,0.0009,0.0023,0.0044,0.0018,0.0032,0.0014,0.0001,0.0223
1.6197,-169.7497,183.7465,505.0432,113.8966,81.3165,0.0031,0.0075,0.0018,0.0066,0.0019,0.0002,0.0027,0.0004,0.0032,0.0090,0.0249,0.0927,0.5866,0.6737,0.3094,0.0021,0.0009,0.0014,0.0043,0.0030,0.0020,0.0013,0.0001,0.0133
1.5860,-175.4734,224.8488,220.5891,80.0206,50.2543,0.0016,0.0070,0.0013,0.0056,0.0170,0.0025,0.0002,0.0002,0.0001,0.0112,0.1291,0.2088,0.6677,0.3482,0.2892,0.0431,0.0065,0.0016,0.0003,0.0000,0.0004,0.0013,0.0007,0.0049
1.4966,-176.6527,215.3507,345.7796,97.7858,63.7691,0.0013,0.0146,0.0007,0.0030,0.0074,0.0022,0.0001,0.0002,0.0001,0.0189,0.0466,0.2672,0.6670,0.4152,0.1373,0.0351,0.0027,0.0010,0.0002,0.0000,0.0004,0.0018,0.0011,0.0069
1.7173,-171.2286,389.3853,320.8225,94.2843,60.9042,0.0029,0.0097,0.0020,0.0044,0.0014,0.0001,0.0032,0.0005,0.0046,0.0130,0.0367,0.1248,0.6658,0.6653,0.2927,0.0030,0.0007,0.0021,0.0051,0.0038,0.0015,0.0012,0.0001,0.0115
1.6152,-168.0897,568.3965,327.6794,101.1046,61.2833,0.0042,0.0130,0.0023,0.0032,0.0014,0.0001,0.0019,0.0002,0.0030,0.0087,0.0331,0.0381,0.5907,0.6589,0.3722,0.0024,0.0004,0.0019,0.0047,0.0051,0.0022,0.0019,0.0003,0.0194
1.4601,-175.5936,381.8831,215.8441,80.9898,50.1763,0.0021,0.0063,0.0005,0.0036,0.0096,0.0045,0.0002,0.0003,0.0001,0.0094,0.1255,0.1376,0.6468,0.4256,0.1688,0.0405,0.0064,0.0016,0.0004,0.0001,0.0005,0.0007,0.0010,0.0106
1.5563,-172.2415,214.6843,344.3663,97.7741,64.3543,0.0037,0.0091,0.0018,0.0049,0.0018,0.0001,0.0037,0.0005,0.0048,0.0118,0.0552,0.1296,0.5656,0.6454,0.2283,0.0020,0.0007,0.0011,0.0044,0.0028,0.0020,0.0008,0.0001,0.0101
1.7862,-171.2384,406.9142,498.4799,123.4579,81.8256,0.0030,0.0059,0.0018,0.0079,0.0032,0.0002,0.0024,0.0004,0.0020,0.0117,0.0380,0.1997,0.6211,0.6380,0.3748,0.0017,0.0007,0.0012,0.0034,0.0009,0.0020,0.0015,0.0001,0.0143
1.6837,-169.4297,568.9823,327.4717,100.9614,60.3183,0.0127,0.0190,0.0022,0.0102,0.0004,0.0001,0.0019,0.0005,0.0027,0.0151,0.0274,0.1459,0.5761,0.6308,0.4115,0.0012,0.0006,0.0022,0.0042,0.0024,0.0043,0.0015,0.0001,0.0217
1.4544,-171.3855,531.9114,211.0432,87.4033,51.1853,0.0024,0.0061,0.0011,0.0030,0.0091,0.0031,0.0003,0.0006,0.0001,0.0111,0.1408,0.0655,0.6013,0.3973,0.2410,0.1038,0.0269,0.0020,0.0007,0.0001,0.0005,0.0011,0.0008,0.0184
1.3567,-165.2093,611.5264,492.8821,56.7240,94.6729,0.0171,0.0139,0.0041,0.0107,0.0009,0.0001,0.0006,0.0002,0.0022,0.0088,0.0320,0.0430,0.4102,0.5970,0.3706,0.0013,0.0015,0.0049,0.0253,0.0100,0.0080,0.0010,0.0002,0.0271
1.6296,-167.6567,569.3189,328.6364,100.7454,59.9655,0.0098,0.0147,0.0029,0.0118,0.0007,0.0001,0.0011,0.0003,0.0017,0.0074,0.0443,0.0896,0.5157,0.5899,0.4913,0.0014,0.0010,0.0021,0.0042,0.0031,0.0023,0.0015,0.0001,0.0142
1.4055,-176.6945,223.8682,220.6840,79.5749,48.0923,0.0029,0.0122,0.0019,0.0039,0.0015,0.0002,0.0061,0.0015,0.0063,0.0189,0.0762,0.2026,0.5825,0.4787,0.1278,0.0016,0.0009,0.0016,0.0066,0.0030,0.0029,0.0005,0.0000,0.0108
1.4795,-172.8089,216.1155,345.4052,96.9184,65.1833,0.0035,0.0115,0.0025,0.0057,0.0080,0.0020,0.0002,0.0002,0.0001,0.0106,0.0965,0.1776,0.4958,0.5577,0.2015,0.0605,0.0071,0.0014,0.0005,0.0001,0.0009,0.0013,0.0016,0.0231
1.1159,-172.7119,214.6471,344.0133,97.6411,64.1374,0.0036,0.0090,0.0016,0.0033,0.0011,0.0001,0.0035,0.0007,0.0056,0.0154,0.0449,0.0957,0.3498,0.5570,0.1142,0.0013,0.0007,0.0012,0.0034,0.0038,0.0018,0.0010,0.0001,0.0076
1.3263,-169.1991,611.2826,492.7519,57.2522,96.0446,0.0225,0.0396,0.0025,0.0069,0.0009,0.0002,0.0010,0.0009,0.0029,0.0149,0.0477,0.0628,0.5479,0.4680,0.3287,0.0006,0.0024,0.0032,0.0096,0.0060,0.0089,0.0005,0.0001,0.0246
1.4253,-176.8739,224.2285,220.8511,79.1280,48.9040,0.0050,0.0111,0.0031,0.0035,0.0015,0.0002,0.0045,0.0012,0.0035,0.0120,0.0946,0.2302,0.5461,0.4970,0.1339,0.0009,0.0007,0.0015,0.0051,0.0015,0.0020,0.0005,0.0001,0.0121
1.3473,-168.3379,530.8780,210.8897,89.8214,52.1828,0.0087,0.0131,0.0036,0.0087,0.0010,0.0002,0.0016,0.0003,0.0017,0.0051,0.0412,0.0783,0.4290,0.5461,0.3452,0.0013,0.0010,0.0024,0.0050,0.0019,0.0015,0.0012,0.0002,0.0211
1.0461,-170.2991,182.9208,505.4451,110.5411,81.2896,0.0042,0.0104,0.0019,0.0045,0.0015,0.0001,0.0025,0.0005,0.0039,0.0089,0.0267,0.0677,0.3122,0.5456,0.1446,0.0015,0.0007,0.0012,0.0034,0.0033,0.0019,0.0012,0.0001,0.0096
1.1259,-169.5424,611.4957,493.5862,57.2245,95.7308,0.0104,0.0133,0.0033,0.0022,0.0180,0.0031,0.0002,0.0002,0.0002,0.0046,0.2090,0.0324,0.5267,0.3468,0.1103,0.0549,0.0309,0.0679,0.0319,0.0030,0.0080,0.0033,0.0045,0.0923
1.3171,-173.5618,407.7780,499.1258,123.8940,84.5230,0.0026,0.0249,0.0023,0.0040,0.0082,0.0023,0.0001,0.0002,0.0001,0.0142,0.0410,0.1819,0.5242,0.4385,0.1768,0.0473,0.0041,0.0011,0.0003,0.0000,0.0003,0.0019,0.0015,0.0108
1.3138,-172.4317,381.5959,216.4261,80.1520,48.1240,0.0077,0.0161,0.0036,0.0037,0.0010,0.0002,0.0026,0.0006,0.0024,0.0091,0.0660,0.1294,0.4659,0.5241,0.2122,0.0009,0.0009,0.0027,0.0070,0.0024,0.0019,0.0007,0.0001,0.0139
1.1638,-172.5212,569.1525,328.8417,99.8494,60.8084,0.0006,0.0086,0.0008,0.0023,0.0113,0.0012,0.0001,0.0002,0.0000,0.0153,0.0216,0.0914,0.5219,0.3848,0.1530,0.0421,0.0033,0.0012,0.0002,0.0000,0.0003,0.0010,0.0005,0.0034
1.1292,-177.8183,224.4793,220.8999,80.2103,50.7840,0.0022,0.0070,0.0013,0.0049,0.0082,0.0040,0.0002,0.0002,0.0002,0.0062,0.0790,0.1973,0.5117,0.2857,0.0995,0.0267,0.0067,0.0024,0.0004,0.0000,0.0002,0.0005,0.0014,0.0118
1.0887,-176.0544,224.6727,220.9066,80.0214,49.7933,0.0037,0.0064,0.0009,0.0049,0.0072,0.0038,0.0003,0.0002,0.0001,0.0066,0.0991,0.1089,0.5115,0.3009,0.1042,0.0392,0.0089,0.0015,0.0004,0.0001,0.0007,0.0017,0.0012,0.0138
1.2964,-174.0273,407.7025,498.2910,123.7930,81.7546,0.0043,0.0064,0.0023,0.0035,0.0020,0.0001,0.0044,0.0007,0.0044,0.0119,0.0562,0.1452,0.4894,0.5093,0.1583,0.0011,0.0006,0.0015,0.0043,0.0013,0.0020,0.0008,0.0001,0.0128
1.4142,-172.4412,183.9911,505.6064,113.7543,81.5425,0.0068,0.0098,0.0025,0.0065,0.0005,0.0002,0.0026,0.0008,0.0031,0.0130,0.0266,0.1988,0.5070,0.5034,0.2549,0.0014,0.0005,0.0021,0.0049,0.0016,0.0031,0.0012,0.0001,0.0142
1.2790,-171.3185,214.7221,344.6092,97.9661,64.9547,0.0064,0.0110,0.0021,0.0075,0.0012,0.0002,0.0020,0.0006,0.0016,0.0070,0.0423,0.1258,0.4429,0.4878,0.2551,0.0013,0.0007,0.0013,0.0032,0.0016,0.0017,0.0012,0.0001,0.0094
1.3311,-173.7622,215.0401,344.7518,98.2088,64.8043,0.0065,0.0090,0.0024,0.0058,0.0006,0.0002,0.0035,0.0008,0.0028,0.0142,0.0399,0.2097,0.4634,0.4866,0.2063,0.0014,0.0005,0.0018,0.0034,0.0013,0.0026,0.0009,0.0001,0.0159
1.3378,-175.5580,407.0536,498.0947,123.2734,82.4440,0.0015,0.0043,0.0011,0.0044,0.0018,0.0001,0.0054,0.0005,0.0030,0.0167,0.0703,0.1994,0.4803,0.4857,0.1615,0.0020,0.0006,0.0009,0.0022,0.0010,0.0009,0.0007,0.0001,0.0130
1.1236,-171.0441,388.9763,321.8561,95.1124,61.6542,0.0026,0.0060,0.0018,0.0020,0.0054,0.0027,0.0003,0.0005,0.0001,0.0080,0.0764,0.0722,0.4741,0.3109,0.2031,0.0576,0.0192,0.0034,0.0009,0.0001,0.0004,0.0006,0.0009,0.0177
1.3284,-168.2329,569.4684,328.6588,102.0510,61.1698,0.0023,0.0075,0.0037,0.0061,0.0140,0.0013,0.0002,0.0003,0.0001,0.0109,0.0512,0.0753,0.4701,0.4376,0.2763,0.1018,0.0156,0.0033,0.0011,0.0000,0.0006,0.0009,0.0005,0.0119
1.1689,-167.5448,183.9023,506.0352,113.4238,81.9424,0.0044,0.0090,0.0021,0.0089,0.0013,0.0002,0.0013,0.0004,0.0011,0.0054,0.0164,0.0742,0.3598,0.4557,0.3280,0.0014,0.0009,0.0017,0.0034,0.0022,0.0023,0.0020,0.0001,0.0101
1.2179,-175.4810,224.0647,220.7881,79.9627,49.1048,0.0054,0.0119,0.0024,0.0056,0.0011,0.0001,0.0028,0.0009,0.0032,0.0126,0.0604,0.1966,0.4390,0.4510,0.1449,0.0011,0.0005,0.0015,0.0025,0.0008,0.0021,0.0008,0.0001,0.0155
1.1911,-172.7808,381.0192,216.1923,80.4801,48.2613,0.0084,0.0143,0.0025,0.0065,0.0008,0.0001,0.0022,0.0006,0.0024,0.0089,0.0491,0.1616,0.4033,0.4457,0.2170,0.0011,0.0007,0.0021,0.0028,0.0009,0.0019,0.0009,0.0001,0.0171
0.9878,-171.1780,214.8387,344.4082,98.5013,63.6576,0.0029,0.0097,0.0020,0.0021,0.0009,0.0001,0.0026,0.0004,0.0034,0.0064,0.0326,0.0535,0.3845,0.4280,0.1427,0.0016,0.0005,0.0017,0.0036,0.0027,0.0019,0.0010,0.0003,0.0154
1.1615,-172.6446,611.7186,492.7834,56.5431,96.4229,0.0019,0.0092,0.0025,0.0043,0.0016,0.0001,0.0021,0.0005,0.0023,0.0136,0.0524,0.1379,0.3974,0.4235,0.2132,0.0016,0.0013,0.0023,0.0054,0.0017,0.0016,0.0010,0.0001,0.0127
1.0564,-167.6527,530.3915,211.1287,89.2522,51.2419,0.0114,0.0089,0.0035,0.0064,0.0007,0.0001,0.0014,0.0003,0.0019,0.0070,0.0273,0.0536,0.3514,0.4189,0.2878,0.0010,0.0005,0.0026,0.0033,0.0013,0.0029,0.0014,0.0002,0.0263
0.8205,-174.1114,389.0493,321.7018,95.6058,61.4726,0.0004,0.0043,0.0009,0.0026,0.0065,0.0013,0.0001,0.0002,0.0000,0.0092,0.0315,0.0605,0.4098,0.2376,0.0859,0.0320,0.0031,0.0010,0.0003,0.0000,0.0003,0.0009,0.0003,0.0025
0.9493,-168.2919,611.4805,492.7930,57.0026,94.8592,0.0047,0.0162,0.0041,0.0025,0.0028,0.0001,0.0023,0.0008,0.0032,0.0041,0.0154,0.0313,0.4085,0.3840,0.1729,0.0017,0.0021,0.0060,0.0187,0.0048,0.0038,0.0011,0.0001,0.0214
0.9511,-174.6114,530.4180,210.8214,88.5951,51.5068,0.0048,0.0105,0.0049,0.0030,0.0013,0.0001,0.0024,0.0011,0.0029,0.0149,0.0557,0.0935,0.3680,0.4058,0.0853,0.0005,0.0007,0.0022,0.0069,0.0022,0.0022,0.0010,0.0001,0.0151
0.9410,-173.7452,224.2647,220.8706,80.5628,49.0050,0.0032,0.0069,0.0020,0.0026,0.0012,0.0001,0.0053,0.0006,0.0049,0.0100,0.0344,0.0971,0.3527,0.4029,0.1032,0.0013,0.0005,0.0010,0.0027,0.0013,0.0013,0.0008,0.0002,0.0151
1.0938,-169.3385,184.0533,507.0236,115.3525,83.8482,0.0025,0.0142,0.0035,0.0045,0.0090,0.0014,0.0001,0.0003,0.0001,0.0094,0.0293,0.1190,0.3853,0.3109,0.2730,0.0577,0.0090,0.0021,0.0006,0.0000,0.0003,0.0009,0.0013,0.0113
0.9568,-171.4417,184.1486,504.7624,114.1293,80.6707,0.0018,0.0101,0.0020,0.0027,0.0008,0.0001,0.0024,0.0005,0.0035,0.0069,0.0297,0.0626,0.3820,0.3776,0.1553,0.0017,0.0005,0.0017,0.0038,0.0030,0.0016,0.0009,0.0002,0.0122
0.7984,-170.4809,183.3951,506.3588,110.4816,81.8207,0.0059,0.0079,0.0019,0.0050,0.0016,0.0001,0.0020,0.0005,0.0021,0.0055,0.0288,0.0646,0.2403,0.3807,0.1355,0.0011,0.0006,0.0011,0.0033,0.0018,0.0026,0.0011,0.0001,0.0100
0.8431,-174.7883,382.1331,215.5604,80.4330,49.4802,0.0042,0.0146,0.0013,0.0039,0.0058,0.0036,0.0002,0.0001,0.0001,0.0082,0.0858,0.0861,0.3680,0.2333,0.1071,0.0459,0.0083,0.0020,0.0005,0.0001,0.0008,0.0016,0.0015,0.0188
0.7116,-169.6911,611.3774,492.7744,56.9170,95.7983,0.0090,0.0127,0.0040,0.0022,0.0018,0.0002,0.0024,0.0013,0.0026,0.0044,0.0144,0.0263,0.3180,0.3601,0.0450,0.0005,0.0018,0.0035,0.0210,0.0084,0.0041,0.0006,0.0001,0.0181
0.9142,-175.2477,214.9940,344.7079,99.2552,64.8288,0.0046,0.0089,0.0018,0.0030,0.0017,0.0001,0.0029,0.0010,0.0030,0.0135,0.0517,0.1430,0.3092,0.3501,0.1122,0.0008,0.0006,0.0015,0.0044,0.0020,0.0037,0.0010,0.0001,0.0083
0.7019,-172.7748,381.9557,215.4726,80.5207,49.3775,0.0017,0.0060,0.0017,0.0032,0.0041,0.0023,0.0001,0.0001,0.0001,0.0055,0.0461,0.0427,0.3495,0.1593,0.1245,0.0322,0.0045,0.0024,0.0006,0.0000,0.0004,0.0007,0.0003,0.0113
0.7170,-170.7381,184.5356,506.6423,114.9022,82.9926,0.0008,0.0105,0.0031,0.0017,0.0033,0.0020,0.0001,0.0005,0.0001,0.0039,0.0142,0.0261,0.3350,0.2553,0.0972,0.0308,0.0021,0.0024,0.0006,0.0000,0.0002,0.0002,0.0002,0.0046
0.7488,-173.8194,184.4067,506.7076,115.2919,83.0222,0.0008,0.0108,0.0014,0.0024,0.0058,0.0019,0.0001,0.0002,0.0001,0.0099,0.0205,0.0923,0.3337,0.2142,0.1037,0.0302,0.0024,0.0012,0.0002,0.0000,0.0002,0.0007,0.0006,0.0042
0.6901,-173.8102,215.8128,345.4546,96.7847,64.7018,0.0007,0.0075,0.0014,0.0022,0.0040,0.0020,0.0001,0.0001,0.0001,0.0077,0.0417,0.0600,0.3278,0.1600,0.1168,0.0293,0.0023,0.0009,0.0003,0.0000,0.0003,0.0011,0.0004,0.0047
0.6651,-173.7604,532.0297,211.5778,87.6127,51.6000,0.0006,0.0070,0.0012,0.0013,0.0026,0.0016,0.0001,0.0002,0.0001,0.0090,0.0132,0.0821,0.3147,0.1682,0.0993,0.0234,0.0014,0.0008,0.0001,0.0000,0.0002,0.0005,0.0004,0.0049
0.7174,-174.4941,408.1149,497.5887,122.9234,82.6581,0.0015,0.0061,0.0018,0.0024,0.0010,0.0001,0.0033,0.0005,0.0027,0.0087,0.0396,0.0816,0.2771,0.2750,0.0885,0.0017,0.0006,0.0017,0.0019,0.0010,0.0009,0.0006,0.0002,0.0161
0.6671,-171.7005,184.1255,506.5527,115.4570,83.5995,0.0005,0.0101,0.0021,0.0026,0.0060,0.0014,0.0001,0.0002,0.0001,0.0089,0.0134,0.0577,0.2771,0.2204,0.1118,0.0276,0.0017,0.0009,0.0003,0.0000,0.0001,0.0006,0.0002,0.0029
0.5806,-172.2348,215.8044,345.1575,96.2565,65.1627,0.0076,0.0075,0.0009,0.0019,0.0020,0.0017,0.0002,0.0002,0.0001,0.0036,0.0601,0.0417,0.2770,0.1615,0.0860,0.0278,0.0114,0.0015,0.0010,0.0003,0.0017,0.0022,0.0019,0.0316
0.7113,-176.4271,224.5304,220.6908,79.9812,49.4177,0.0003,0.0059,0.0006,0.0026,0.0026,0.0009,0.0002,0.0001,0.0001,0.0118,0.0122,0.1343,0.2761,0.2642,0.0375,0.0144,0.0009,0.0006,0.0001,0.0000,0.0004,0.0009,0.0006,0.0021
0.5292,-170.9564,569.2441,328.4915,101.4726,61.4119,0.0027,0.0035,0.0016,0.0025,0.0019,0.0017,0.0002,0.0003,0.0001,0.0022,0.0340,0.0201,0.2751,0.1240,0.0831,0.0293,0.0139,0.0022,0.0012,0.0001,0.0006,0.0008,0.0006,0.0114
0.4748,-167.3041,611.1985,493.4447,57.8364,96.0352,0.0043,0.0057,0.0018,0.0020,0.0048,0.0024,0.0002,0.0002,0.0002,0.0034,0.0475,0.0148,0.2712,0.0973,0.0378,0.0328,0.0265,0.0306,0.0158,0.0017,0.0017,0.0015,0.0012,0.0185
0.6091,-172.8163,388.9478,321.7977,95.6719,61.6762,0.0013,0.0061,0.0011,0.0017,0.0035,0.0023,0.0001,0.0003,0.0001,0.0047,0.0245,0.0786,0.2704,0.1267,0.1231,0.0281,0.0032,0.0017,0.0003,0.0000,0.0002,0.0004,0.0007,0.0051
0.6259,-174.9184,408.9284,497.3945,125.8919,81.7903,0.0017,0.0055,0.0015,0.0030,0.0009,0.0002,0.0026,0.0005,0.0030,0.0106,0.0304,0.0843,0.2139,0.2600,0.0673,0.0011,0.0006,0.0011,0.0031,0.0015,0.0011,0.0005,0.0001,0.0061
0.5409,-175.8289,531.8723,211.4389,87.5938,51.0465,0.0003,0.0054,0.0009,0.0028,0.0066,0.0013,0.0001,0.0001,0.0000,0.0106,0.0133,0.0742,0.2534,0.1544,0.0537,0.0187,0.0016,0.0009,0.0002,0.0000,0.0002,0.0008,0.0003,0.0018
0.5816,-173.2414,407.6906,499.7813,122.6400,83.6979,0.0012,0.0135,0.0015,0.0025,0.0051,0.0017,0.0001,0.0001,0.0000,0.0076,0.0175,0.0660,0.2522,0.1822,0.0831,0.0261,0.0014,0.0008,0.0002,0.0000,0.0003,0.0011,0.0008,0.0047
0.5645,-170.3936,569.2635,328.5625,102.4421,62.0150,0.0016,0.0058,0.0022,0.0019,0.0046,0.0017,0.0003,0.0004,0.0001,0.0040,0.0406,0.0340,0.2492,0.1456,0.1011,0.0388,0.0130,0.0043,0.0011,0.0001,0.0003,0.0005,0.0006,0.0131
0.6094,-171.5011,407.6140,498.5706,123.6283,84.8835,0.0022,0.0078,0.0016,0.0044,0.0046,0.0015,0.0001,0.0002,0.0001,0.0058,0.0217,0.0524,0.2204,0.2416,0.0960,0.0196,0.0026,0.0006,0.0003,0.0000,0.0005,0.0010,0.0007,0.0047
0.4259,-173.2463,389.1650,321.8096,95.0179,59.0940,0.0022,0.0040,0.0010,0.0016,0.0014,0.0018,0.0002,0.0003,0.0000,0.0023,0.0355,0.0200,0.2266,0.1020,0.0560,0.0190,0.0073,0.0018,0.0009,0.0001,0.0007,0.0006,0.0006,0.0097
