vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15,x1,y1,x2,y2,group_id,group_x_center,group_y_center,group_width,group_height
2.5171,8.1300,230.2585,162.2922,75.4068,46.5047,0.7592,0.8457,0.4978,0.1574,0.0105,0.0008,0.0000,0.0001,0.0006,0.0027,0.0003,0.0135,0.0027,0.0778,0.0431,0.0028,0.0167,0.0230,0.0035,0.0001,0.0019,0.0170,0.0265,0.4959,192.5551,139.0399,267.9619,185.5446,1,230.1000,162.2800,74.7600,46.9800
1.8522,11.3685,230.0299,162.2414,74.2748,47.1190,0.5571,0.6601,0.4148,0.1401,0.0156,0.0009,0.0000,0.0000,0.0015,0.0018,0.0004,0.0097,0.0025,0.0481,0.0255,0.0013,0.0043,0.0169,0.0020,0.0002,0.0025,0.0085,0.0440,0.2065,192.8925,138.6819,267.1673,185.8009,1,230.1000,162.2800,74.7600,46.9800
1.8496,6.3365,230.0565,162.1576,74.6671,47.0377,0.7214,0.5992,0.2398,0.0602,0.0095,0.0008,0.0000,0.0000,0.0006,0.0016,0.0001,0.0172,0.0009,0.0196,0.0084,0.0004,0.0030,0.0099,0.0016,0.0002,0.0006,0.0124,0.0345,0.3038,192.7229,138.6388,267.3901,185.6765,1,230.1000,162.2800,74.7600,46.9800
1.6128,9.2593,229.8165,162.0617,74.7251,47.2599,0.5533,0.6131,0.2916,0.0475,0.0078,0.0014,0.0000,0.0001,0.0005,0.0006,0.0002,0.0120,0.0015,0.0264,0.0130,0.0013,0.0018,0.0130,0.0012,0.0000,0.0005,0.0034,0.0091,0.2083,192.4539,138.4317,267.1790,185.6916,1,230.1000,162.2800,74.7600,46.9800
1.0514,4.6041,229.9587,162.2700,74.1505,47.2633,0.3407,0.3860,0.1121,0.0388,0.0042,0.0007,0.0000,0.0001,0.0016,0.0019,0.0006,0.0031,0.0009,0.0191,0.0129,0.0009,0.0039,0.0049,0.0009,0.0010,0.0044,0.0152,0.0289,0.2169,192.8835,138.6383,267.0340,185.9017,1,230.1000,162.2800,74.7600,46.9800
1.0468,12.9913,230.3196,162.7376,75.1257,46.9876,0.2662,0.5100,0.2081,0.0547,0.0081,0.0004,0.0000,0.0001,0.0010,0.0028,0.0002,0.0038,0.0010,0.0270,0.0125,0.0005,0.0023,0.0050,0.0007,0.0001,0.0012,0.0060,0.0108,0.0734,192.7567,139.2438,267.8825,186.2315,1,230.1000,162.2800,74.7600,46.9800
0.2643,1.4541,230.6099,162.5588,73.4594,47.8100,0.0874,0.0868,0.0245,0.0064,0.0011,0.0003,0.0000,0.0000,0.0005,0.0007,0.0003,0.0021,0.0007,0.0041,0.0014,0.0004,0.0018,0.0032,0.0010,0.0003,0.0010,0.0066,0.0091,0.0668,193.8802,138.6538,267.3396,186.4638,1,230.1000,162.2800,74.7600,46.9800
0.2111,6.5583,230.0536,162.4964,75.1151,46.4467,0.0845,0.0931,0.0274,0.0104,0.0020,0.0004,0.0000,0.0002,0.0003,0.0012,0.0001,0.0019,0.0015,0.0093,0.0044,0.0008,0.0028,0.0062,0.0016,0.0001,0.0011,0.0029,0.0042,0.0182,192.4960,139.2731,267.6112,185.7198,1,230.1000,162.2800,74.7600,46.9800
0.1993,5.0599,230.4482,162.1440,74.8113,47.1876,0.0471,0.1123,0.0101,0.0037,0.0016,0.0005,0.0001,0.0001,0.0002,0.0008,0.0003,0.0033,0.0009,0.0042,0.0050,0.0015,0.0017,0.0015,0.0005,0.0001,0.0009,0.0015,0.0036,0.0431,193.0426,138.5502,267.8539,185.7378,1,230.1000,162.2800,74.7600,46.9800
0.1108,0.0154,230.8157,162.5509,74.6286,46.6544,0.0526,0.0409,0.0055,0.0030,0.0009,0.0003,0.0000,0.0001,0.0001,0.0011,0.0002,0.0015,0.0007,0.0035,0.0051,0.0006,0.0029,0.0010,0.0008,0.0002,0.0012,0.0023,0.0041,0.0191,193.5014,139.2237,268.1299,185.8782,1,230.1000,162.2800,74.7600,46.9800
