group_id,anchor_id,vector_magnitude,predicted_angle,x_center,y_center,width,height,top_class,top_class_score,vector_x,vector_y,contribution_pct
1,0,2.5171,8.1300,230.2600,162.2900,75.4100,46.5000,Leanbot_p15,0.8457,2.4918,0.3560,22.9700
1,1,1.8522,11.3700,230.0300,162.2400,74.2700,47.1200,Leanbot_p15,0.6601,1.8158,0.3651,16.9000
1,2,1.8496,6.3400,230.0600,162.1600,74.6700,47.0400,Leanbot_0,0.7214,1.8383,0.2041,16.8700
1,3,1.6128,9.2600,229.8200,162.0600,74.7300,47.2600,Leanbot_p15,0.6131,1.5918,0.2595,14.7100
1,4,1.0514,4.6000,229.9600,162.2700,74.1500,47.2600,Leanbot_p15,0.3860,1.0480,0.0844,9.5900
1,5,1.0468,12.9900,230.3200,162.7400,75.1300,46.9900,Leanbot_p15,0.5100,1.0200,0.2353,9.5500
1,6,0.2643,1.4500,230.6100,162.5600,73.4600,47.8100,Leanbot_0,0.0874,0.2642,0.0067,2.4100
1,7,0.2111,6.5600,230.0500,162.5000,75.1200,46.4500,Leanbot_p15,0.0931,0.2097,0.0241,1.9300
1,8,0.1993,5.0600,230.4500,162.1400,74.8100,47.1900,Leanbot_p15,0.1123,0.1985,0.0176,1.8200
1,9,0.1108,0.0200,230.8200,162.5500,74.6300,46.6500,Leanbot_0,0.0526,0.1108,0.0000,1.0100
1,10,0.1066,4.6900,230.4600,162.3300,74.8900,47.3200,Leanbot_p15,0.0409,0.1063,0.0087,0.9700
1,11,0.0483,-9.0200,229.3200,162.2300,73.8200,46.6200,Leanbot_m15,0.0306,0.0477,-0.0076,0.4400
1,12,0.0451,-6.4700,228.7400,162.3000,74.2800,46.1600,Leanbot_p15,0.0230,0.0448,-0.0051,0.4100
1,13,0.0234,0.8600,230.2000,162.8300,73.8000,46.6400,Leanbot_p15,0.0104,0.0234,0.0004,0.2100
1,14,0.0107,9.9800,229.8700,162.8600,75.5500,46.4000,Leanbot_p15,0.0054,0.0105,0.0019,0.1000
1,15,0.0097,-28.0700,229.0900,162.8500,74.3600,46.9800,Leanbot_p195,0.0082,0.0086,-0.0046,0.0900
1,16,0.0086,-17.5800,229.5200,163.0000,75.0400,47.2700,Leanbot_p15,0.0043,0.0082,-0.0026,0.0800
1,17,0.0049,9.8800,230.7100,161.7500,74.5900,48.4800,Leanbot_p15,0.0030,0.0048,0.0008,0.0400
1,18,0.0049,-6.4800,229.8900,163.7900,73.2900,45.5200,Leanbot_0,0.0020,0.0049,-0.0006,0.0400
1,19,0.0023,-19.7200,215.6300,161.4200,99.6300,49.7300,Leanbot_p15,0.0015,0.0022,-0.0008,0.0200
1,20,0.0009,18.5200,233.7300,161.6500,85.2100,46.7500,Leanbot_p15,0.0015,0.0008,0.0003,0.0100
2,0,2.4106,7.5800,361.6200,165.3600,74.0900,45.8600,Leanbot_p15,0.7644,2.3895,0.3182,23.9400
2,1,1.4187,7.8000,361.8800,165.0600,74.3200,46.5300,Leanbot_p15,0.5176,1.4055,0.1926,14.0900
2,2,1.3598,7.7300,361.4600,165.8100,75.0400,46.0800,Leanbot_0,0.4680,1.3475,0.1828,13.5000
2,3,1.0776,2.2100,361.5300,165.2900,74.3400,46.6300,Leanbot_0,0.4671,1.0768,0.0415,10.7000
2,4,0.8739,4.2900,361.5900,165.2800,73.9900,46.5600,Leanbot_p15,0.3880,0.8714,0.0653,8.6800
2,5,0.8168,-4.7200,361.2500,165.7800,74.5400,46.3200,Leanbot_0,0.3089,0.8141,-0.0671,8.1100
2,6,0.7234,-0.0500,362.0700,165.4800,73.3200,46.8400,Leanbot_0,0.2960,0.7234,-0.0006,7.1800
2,7,0.5230,-7.5300,361.3400,165.8500,73.4900,46.1600,Leanbot_0,0.1737,0.5185,-0.0685,5.1900
2,8,0.4807,1.9700,361.5400,165.5900,73.4300,46.2000,Leanbot_0,0.2369,0.4804,0.0165,4.7700
2,9,0.2508,13.8300,361.3100,165.7800,74.8800,46.6100,Leanbot_p15,0.1297,0.2435,0.0599,2.4900
2,10,0.0501,-8.2700,360.2300,164.9700,73.4300,44.4000,Leanbot_m15,0.0274,0.0495,-0.0072,0.5000
2,11,0.0356,5.0000,360.9900,165.8800,74.0700,45.4500,Leanbot_p15,0.0190,0.0355,0.0031,0.3500
2,12,0.0310,-11.3100,360.2000,165.0000,74.5700,44.2200,Leanbot_m15,0.0153,0.0304,-0.0061,0.3100
2,13,0.0268,-15.8300,360.8800,166.1400,74.5600,45.7700,Leanbot_p15,0.0087,0.0258,-0.0073,0.2700
2,14,0.0260,-0.5800,360.7700,165.6300,74.7300,46.0100,Leanbot_p15,0.0117,0.0260,-0.0003,0.2600
2,15,0.0039,-1.8300,361.1800,166.6800,72.8000,43.8500,Leanbot_0,0.0015,0.0039,-0.0001,0.0400
