vector_magnitude,estimated_angle,x_center,y_center,width,height,Leanbot_0,Leanbot_p15,Leanbot_p30,Leanbot_p45,Leanbot_p60,Leanbot_p75,Leanbot_p90,Leanbot_p105,Leanbot_p120,Leanbot_p135,Leanbot_p150,Leanbot_p165,Leanbot_p180,Leanbot_p195,Leanbot_m150,Leanbot_m135,Leanbot_m120,Leanbot_m105,Leanbot_m90,Leanbot_m75,Leanbot_m60,Leanbot_m45,Leanbot_m30,Leanbot_m15
2.3530,15.4169,371.2385,257.6909,86.0667,54.2124,0.4845,0.8822,0.7400,0.1790,0.0243,0.0014,0.0000,0.0001,0.0011,0.0018,0.0001,0.0078,0.0031,0.0419,0.0326,0.0029,0.0054,0.0208,0.0022,0.0000,0.0004,0.0059,0.0051,0.2427
2.5171,8.1300,230.2585,162.2922,75.4068,46.5047,0.7592,0.8457,0.4978,0.1574,0.0105,0.0008,0.0000,0.0001,0.0006,0.0027,0.0003,0.0135,0.0027,0.0778,0.0431,0.0028,0.0167,0.0230,0.0035,0.0001,0.0019,0.0170,0.0265,0.4959
2.1225,17.3144,371.0591,258.4037,86.0340,54.1187,0.4641,0.8078,0.6859,0.1859,0.0128,0.0006,0.0000,0.0001,0.0014,0.0012,0.0001,0.0058,0.0017,0.0376,0.0142,0.0006,0.0031,0.0114,0.0010,0.0000,0.0005,0.0047,0.0085,0.1050
1.9008,12.4014,193.6916,380.7386,102.7863,69.6058,0.5013,0.8077,0.5282,0.0769,0.0215,0.0009,0.0000,0.0002,0.0005,0.0018,0.0001,0.0064,0.0033,0.0306,0.1015,0.0069,0.0066,0.0147,0.0024,0.0000,0.0006,0.0056,0.0051,0.1907
2.3122,15.3840,370.5744,257.6564,85.2379,54.9520,0.6037,0.7932,0.6562,0.2416,0.0177,0.0006,0.0000,0.0001,0.0020,0.0012,0.0002,0.0065,0.0016,0.0373,0.0414,0.0008,0.0043,0.0136,0.0008,0.0001,0.0012,0.0070,0.0166,0.1858
2.0900,16.9383,214.1239,256.4225,86.1284,54.4214,0.5112,0.7799,0.6264,0.2332,0.0242,0.0010,0.0000,0.0001,0.0019,0.0014,0.0002,0.0121,0.0035,0.0487,0.0654,0.0012,0.0027,0.0085,0.0005,0.0000,0.0004,0.0041,0.0060,0.1369
2.4106,7.5843,361.6164,165.3554,74.0925,45.8616,0.7523,0.7644,0.4112,0.2085,0.0165,0.0004,0.0000,0.0001,0.0006,0.0055,0.0002,0.0091,0.0012,0.0502,0.0337,0.0026,0.0263,0.0234,0.0029,0.0002,0.0056,0.0437,0.0502,0.4376
2.0127,16.6299,377.3940,386.7157,103.8117,69.7988,0.4064,0.7558,0.6810,0.1567,0.0118,0.0004,0.0000,0.0001,0.0007,0.0008,0.0001,0.0066,0.0009,0.0290,0.0163,0.0010,0.0041,0.0186,0.0022,0.0001,0.0012,0.0039,0.0109,0.1354
1.7711,10.8739,213.7474,256.6205,86.9957,53.6185,0.5021,0.7488,0.3857,0.0838,0.0118,0.0014,0.0000,0.0001,0.0010,0.0022,0.0003,0.0114,0.0046,0.0502,0.0533,0.0033,0.0081,0.0105,0.0012,0.0000,0.0004,0.0060,0.0071,0.2335
2.1439,12.8553,193.4772,381.0645,102.4141,69.5697,0.5696,0.7415,0.7168,0.0925,0.0272,0.0010,0.0000,0.0001,0.0003,0.0018,0.0001,0.0079,0.0031,0.0593,0.1006,0.0045,0.0054,0.0140,0.0029,0.0000,0.0003,0.0032,0.0094,0.2691
