target_id,calibrated_at,target_x,target_y,target_heading,points,fit_dx,fit_dy
1,2026-09-18 17:27:18,714.9,229.8,1.6,91,126.94,-3.46
1,2026-09-18 17:33:59,593.9,265.1,-18.9,90,108.4,37.17
2,2026-09-18 17:35:16,446.8,327.2,14.0,91,125.12,-31.21
3,2026-09-18 17:36:55,530.8,529.4,-136.2,91,-112.79,108.03
4,2026-09-18 17:39:51,757.3,200.6,-165.9,91,-103.2,25.91
5,2026-09-18 17:41:57,640.1,480.0,108.9,91,-38.71,-113.19
