epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4142,1.95593,12.1637,1.61894,0,0,0,0,1.41258,11.452,1.19858,0.000104125,0.000104125,0.000104125
2,22.7674,1.54536,11.7196,1.34077,0,0,0,0,1.31663,11.1641,1.05137,0.000221652,0.000221652,0.000221652
3,25.1264,1.26554,10.9416,1.07256,0,0,0,0,1.1469,10.4237,0.91937,0.000337609,0.000337609,0.000337609
4,28.4369,1.22689,10.4542,1.02733,0.00975,0.02083,0.00195,0.00108,1.48098,10.8696,1.08293,0.000349931,0.000349931,0.000349931
5,32.1072,1.17111,10.3145,1.00898,0.02221,0.19444,0.02425,0.01611,1.11244,10.393,0.9087,0.000347575,0.000347575,0.000347575
6,34.4836,1.1099,9.97466,0.98676,0.02863,0.27315,0.03873,0.02439,1.1222,10.2776,0.90776,0.000345219,0.000345219,0.000345219
7,37.1201,1.03275,9.70858,0.96592,0.04952,0.40278,0.05544,0.03778,1.10019,10.1268,0.89393,0.000342863,0.000342863,0.000342863
8,39.645,1.04645,9.53473,0.97502,0.05339,0.56481,0.09281,0.05323,1.36854,10.2539,1.00023,0.000340507,0.000340507,0.000340507
9,43.1368,1.02854,9.19897,0.97301,0.06731,0.67593,0.11621,0.08112,1.12919,9.74754,0.90069,0.00033815,0.00033815,0.00033815
10,46.7875,1.01296,8.95524,0.98838,0.06145,0.82639,0.12561,0.08861,1.14096,9.55488,0.90066,0.000335794,0.000335794,0.000335794
11,49.2159,0.98724,8.54008,0.98875,0.05359,0.91667,0.18292,0.13524,1.06606,9.18881,0.89769,0.000333438,0.000333438,0.000333438
12,51.7494,1.01363,8.25941,0.98556,0.05068,0.97917,0.23582,0.16576,1.14339,8.72819,0.94233,0.000331082,0.000331082,0.000331082
13,54.244,1.01232,7.94636,0.99911,0.04732,0.9838,0.2573,0.18148,1.12906,8.27241,0.95666,0.000328726,0.000328726,0.000328726
14,57.5484,0.99677,7.32985,1.00199,0.36934,0.18959,0.25241,0.17671,1.14467,7.77624,0.96475,0.000326369,0.000326369,0.000326369
15,60.4409,0.98876,7.10642,1.0023,0.29437,0.43595,0.29037,0.19361,1.26503,7.06651,1.00203,0.000324013,0.000324013,0.000324013
16,62.8367,0.96677,6.85337,1.00622,0.27917,0.48345,0.30572,0.22203,1.04161,6.57882,0.98016,0.000321657,0.000321657,0.000321657
17,65.3226,0.9912,6.39468,1.03193,0.30387,0.50231,0.31332,0.22653,1.05997,6.31649,1.01,0.000319301,0.000319301,0.000319301
18,67.9862,0.95101,6.1129,1.00576,0.27876,0.53675,0.33248,0.25408,0.92384,5.89454,0.97344,0.000316945,0.000316945,0.000316945
19,71.4622,0.99513,5.84187,1.05085,0.29486,0.57303,0.36477,0.26496,1.02765,5.43921,0.99191,0.000314588,0.000314588,0.000314588
20,74.08,0.95775,5.54977,1.02784,0.21555,0.66649,0.35935,0.25954,1.04184,5.11914,1.01548,0.000312232,0.000312232,0.000312232
